




============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;AGEO9;AGEO1var;AGEO2var;AGEO3var;AGEO4var;AGEO9var;
meanNFE;100100;100100;100100;100100;100100;100100;100100;100100;100100;100100;
meanFX;0,27393196097039013;0,07642425357362875;2,636091659744513;0,08717095977598668;0,09657272089256866;75,15830287407758;28,144800904659416;28,335811939193075;27,64060833195682;24,401548197866177;
medianFX;0,22659898331604822;0,06579944646484492;0,1609456561721856;0,0787670848076264;0,08709578815963037;76,36434602028052;29,14101096203151;29,698575299289395;28,816036579641683;23,502439644076905;
sdFX;0,2227324216918616;0,064774366217496;15,519619931422184;0,06592197064509356;0,05418687285515619;16,989140952407563;4,736627299634719;4,612009209976765;4,5768940350126535;4,518125534788733;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;AGEO9;AGEO1var;AGEO2var;AGEO3var;AGEO4var;AGEO9var;
2000;15,054212858576609;6,648604370605559;93,13378308518158;5,186841095178797;10,607572955735403;94,52550516715715;56,624981419121035;97,72001119810548;53,31098705091315;54,01022740629429;
2500;12,35885678916736;3,297508325951098;70,6144461701328;2,742402353341338;7,341740148985539;93,62935825875704;51,065722020618594;87,59315089367837;49,41682605149602;52,40425570220428;
3000;10,419335410226143;1,794500625642219;57,91166951071964;1,6104368517465288;3,669323164618865;93,10775372074629;48,51343841030019;79,05733650783876;47,54815200844457;52,06188102575051;
3500;6,85375613074103;1,3124604689367634;51,13166232839858;1,2177139343609462;2,1793684896798076;93,10775372074629;46,65541876338048;74,8143987694913;45,95414332165963;48,480642800199355;
4000;5,343555711703123;1,0478773063969968;39,85731704882701;0,9987039519704906;1,6206869791743954;91,17424280940608;44,61536186814324;65,15429760025698;44,21239587401247;45,90476391695862;
4500;4,888187983325431;0,862639102832189;34,534146974909305;0,8412578785139375;1,30904941972067;91,01539626374203;43,36428428392572;58,67954373867791;44,07351429459261;44,945482094727524;
5000;4,30813442095771;0,7080191756878803;31,35623764703426;0,6619380223640889;1,0773084699840536;90,44327940042437;42,46238179749118;53,74077110575614;43,91432017910955;44,631749579124104;
6000;1,309308449856057;0,44109239710384596;23,032708426274915;0,41190126726160886;0,8053287115661689;87,46606444633076;41,31956998427191;46,18149428152981;41,80419891022682;42,31289514156109;
7000;0,45090754056319166;0,32388688657825704;17,311407814898107;0,2933911827189313;0,6653951196431559;87,45248536054332;40,43749089722796;43,23944828211195;40,99172946335149;40,824328393872506;
8000;0,32377784852772473;0,3024684301199712;16,229486805539487;0,2589599873940565;0,5156975657502612;87,45248536054332;39,401961667598194;41,4080286857005;39,518367368268095;40,42184989470684;
9000;0,30009488256860767;0,2862337160608329;13,188047900417473;0,24994227530319596;0,41490531896329996;86,6849458283754;38,411627167112826;39,53790676120136;38,06072357886256;37,91572240071365;
10000;0,295267326656522;0,2820240913880916;11,724086969851928;0,24799824290633388;0,3708993850539705;86,1041488495204;37,9780869009995;38,7341810321641;37,0845726961455;36,92460086719441;
12000;0,2746066740134481;0,2643537709250053;11,428386052758546;0,2285554708267452;0,2973816332658897;84,4689879132894;36,57990221433026;37,67226076802466;36,49096496122173;36,188300619651834;
14000;0,27393196097039013;0,2446129845323664;8,856461180369884;0,22144967753567357;0,2501304041173769;84,4689879132894;35,3595069528581;35,746689227561106;35,44919154198885;34,99623778150872;
16000;0,27393196097039013;0,2285749750342932;8,720136415655022;0,20605523792612726;0,23306148845507518;84,4689879132894;34,793127115060905;35,25152587670728;34,421868109736195;33,86570588998482;
18000;0,27393196097039013;0,2221112022558343;8,703913343165627;0,19251468760993884;0,2138636801532478;83,70234066749035;34,01705472701406;34,67984304846367;33,907237036636886;32,503238721081495;
20000;0,27393196097039013;0,20843171734715024;8,680276907315179;0,18896140849758036;0,20167238565814113;82,8456732413043;33,48215213191468;34,2794805011993;33,641413689049685;32,171544026116784;
25000;0,27393196097039013;0,1875854799014138;7,755559317892431;0,15571356795590918;0,18679152578834615;82,39392622449077;32,852844670899245;32,51498241151228;33,24308310411364;30,60755186880582;
30000;0,27393196097039013;0,15714491968002442;6,4653354964444985;0,14712291588383244;0,17031773684475324;81,35265186411894;31,335516139255446;31,934990258522554;32,427298917157344;30,480250473095715;
35000;0,27393196097039013;0,1464635351736957;5,80245427378522;0,1459917737180258;0,1638150357373731;81,19251378619602;30,991345527205787;31,158540548617594;32,080929260992384;30,214444851452594;
40000;0,27393196097039013;0,14132938421978108;5,774544381546432;0,14243337360639302;0,14278754166940838;80,51912812176833;30,908884619932017;30,44940048098571;31,334593912208817;29,286233882267265;
45000;0,27393196097039013;0,1338933779617449;5,759735655610718;0,12847338864314412;0,1332688313516215;80,15111468695167;30,7313640634264;30,014622514627185;30,182672980775116;28,549581673591074;
50000;0,27393196097039013;0,12854127193839032;5,758072093558551;0,11676848396256152;0,12552917312895268;79,8346275853497;30,443482371878;29,829352048569213;29,85578346072834;28,12060458982428;
55000;0,27393196097039013;0,12168346089411675;3,9465329830841007;0,11542779029814128;0,12398910724338466;79,50975493067415;30,309350090397214;29,583630410776312;29,49532711497404;27,783530228188575;
60000;0,27393196097039013;0,10787344449765138;3,8079510093239697;0,11376424194013428;0,1188658452243501;79,1025193428541;30,054940993010483;29,15991088899238;29,124884669200817;27,53298910666312;
65000;0,27393196097039013;0,10674904678748845;3,793073754333295;0,10782673015423902;0,11879907180323754;78,57835387269226;30,032194996080147;28,97382640147375;29,110900580331883;26,380491060641504;
