




============================================================================
Função: Griewangk
============================================================================
P =  8;   s =  1;   std1 =  4,00;   tau =  2,50  -->  NFE:   21773  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:   22401  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:   23163  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:   23539  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:   23796  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:   24773  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:   24859  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   26596  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:   27467  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:   27773  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   28240  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:   29469  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:   29866  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:   30338  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:   31889  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  1,50  -->  NFE:   32458  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  8,00;   tau =  2,50  -->  NFE:   33285  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:   33601  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:   33773  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:   36456  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  8,00;   tau =  2,00  -->  NFE:   36521  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:   36577  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  8,00;   tau =  2,00  -->  NFE:   37621  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  8,00;   tau =  3,00  -->  NFE:   38920  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  2,50  -->  NFE:   41120  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   44576  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:   48300  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:   52850  -->  fx: 7,401486830834380E-18  -->  sd:4,053961296325410E-17
P = 16;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:   84038  -->  fx: 3,330669073875470E-17  -->  sd:1,096741932879340E-16
P = 16;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:   52976  -->  fx: 6,578319370712890E-12  -->  sd:2,473642255406910E-11
P = 16;   s =  1;   std1 =  4,00;   tau =  1,50  -->  NFE:   62606  -->  fx: 1,004779359603520E-07  -->  sd:5,503394831414590E-07
P = 16;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:   55737  -->  fx: 3,870847326585820E-05  -->  sd:2,120150397429620E-04
P =  8;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:   71731  -->  fx: 2,827365499373420E-04  -->  sd:1,546724322500230E-03
P =  8;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:   33687  -->  fx: 6,563334028641140E-04  -->  sd:3,594886099928010E-03
P =  8;   s =  1;   std1 =  4,00;   tau =  3,00  -->  NFE:   37186  -->  fx: 7,520023317076910E-04  -->  sd:4,118886403727850E-03
P = 16;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:   74697  -->  fx: 7,927179014857840E-04  -->  sd:2,577218978447640E-03
P = 16;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:   50933  -->  fx: 8,209907498815230E-04  -->  sd:3,190338227266000E-03
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   37722  -->  fx: 1,311825377961810E-03  -->  sd:5,155243016858460E-03
P =  4;   s =  2;   std1 =  8,00;   tau =  3,00  -->  NFE:   29128  -->  fx: 1,373585850663140E-03  -->  sd:7,523439550781210E-03
P =  4;   s =  1;   std1 =  4,00;   tau =  2,50  -->  NFE:   28896  -->  fx: 1,447535065713390E-03  -->  sd:7,928476082709490E-03
P =  8;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:   70073  -->  fx: 2,164953736346030E-03  -->  sd:1,185793997351810E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   99254  -->  fx: 2,359806340176880E-03  -->  sd:7,842677827799000E-03
P =  8;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   47120  -->  fx: 2,706152407841870E-03  -->  sd:7,485570958133410E-03
P =  8;   s =  2;   std1 =  4,00;   tau =  3,00  -->  NFE:   53775  -->  fx: 2,706311609674560E-03  -->  sd:7,679430946304620E-03
P = 16;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:   66865  -->  fx: 2,790411676046190E-03  -->  sd:8,762676774946820E-03
P =  8;   s =  2;   std1 =  8,00;   tau =  3,00  -->  NFE:   62431  -->  fx: 3,142345223660900E-03  -->  sd:7,414958410632760E-03
P =  8;   s =  1;   std1 =  8,00;   tau =  3,50  -->  NFE:   62254  -->  fx: 4,018102814427660E-03  -->  sd:9,672338238618860E-03
P =  8;   s =  2;   std1 =  4,00;   tau =  1,00  -->  NFE:   69418  -->  fx: 4,306923539825870E-03  -->  sd:1,412998811267230E-02
P =  8;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:   58406  -->  fx: 4,428702045065320E-03  -->  sd:8,935622000585950E-03
P =  8;   s =  1;   std1 =  4,00;   tau =  3,50  -->  NFE:   54182  -->  fx: 4,998748823951190E-03  -->  sd:1,159289151223250E-02
P = 16;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:   68609  -->  fx: 5,085553353882560E-03  -->  sd:1,061384533515910E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:   75489  -->  fx: 5,254078967882880E-03  -->  sd:9,642161695933770E-03
