============================================================================
Função: Paviani
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;-4,293427015032296;-42,45574390613854;-16,903177530672544;
sdFX;8,050597168334702;1,5925923336111476;4,203035951249596;

==========================================================
===> Médias para cada NFOB:
2000;-106,46020937399092;-97,40527581060073;-106,75202640914515;
2500;-106,48809432234106;-97,40533659229904;-106,75594510763011;
3000;-106,51063343661126;-97,40536909417257;-106,76268140058023;
3500;-106,75771210497123;-97,40536981220804;-106,76397414550686;
4000;-106,75829772531196;-97,4053743280621;-106,76401976597718;
4500;-106,76154438766046;-99,5477613178082;-106,76403342244072;
5000;-106,76189473534947;-103,15614024623629;-106,76435406398988;
6000;-106,76193871353101;-103,1561496654692;-106,76450581812898;
7000;-106,7621975451543;-106,76452080337967;-106,76451160481261;
8000;-106,76255548786851;-106,76452080708968;-106,76452013426182;
9000;-106,76271161467912;-106,76453573257922;-106,76452095771039;
10000;-106,76277944194378;-106,76453607564696;-106,76452219152803;
12000;-106,7630593418122;-106,7645365580881;-106,7645275885677;
14000;-106,76352012355977;-106,76453658751893;-106,76452851152462;
16000;-106,76361687185808;-106,76453659809022;-106,76452912776992;
18000;-106,76395457422835;-106,76453661844197;-106,76453109863186;
20000;-106,76395801541973;-106,76453665362536;-106,76453206122227;
25000;-106,76407877411845;-106,76453667128682;-106,76453312030206;
30000;-106,7641145139409;-106,76453668384056;-106,7645338999856;
35000;-106,76412449320642;-106,76453669670302;-106,76453408136067;
40000;-106,76419826232389;-106,76453669705124;-106,76453461314628;
45000;-106,76422945497872;-106,76453670085014;-106,76453475321685;
50000;-106,76426910591061;-106,76453670977004;-106,76453476613851;
55000;-106,76429991632571;-106,764536711176;-106,76453505569773;
60000;-106,76429991632571;-106,76453671216841;-106,76453535363746;
65000;-106,76430340035868;-106,76453672019949;-106,76453548174092;
70000;-106,76430906904388;-106,76453672019949;-106,76453587407596;
75000;-106,76432360261695;-106,76453672150116;-106,76453593004614;
80000;-106,76432708839228;-106,76453672422238;-106,76453593004614;
85000;-106,76434716317767;-106,76453672538787;-106,76453593968782;
90000;-106,76436981346362;-106,76453672538787;-106,76453606799403;
95000;-106,76437040480367;-106,76453672759418;-106,7645360902707;
100000;-106,76440887454966;-106,76453673048067;-106,76453613745431;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;-106,76429168800179;-106,76453670793632;-106,76453634581951;
