




============================================================================
Função: Griewangk
============================================================================
P =  8;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 3,939388315751390E+01  -->  sd:1,382769351597600E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 3,991676616473130E+01  -->  sd:1,461359804248370E+01
P = 16;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 3,998306454271740E+01  -->  sd:1,477514039731170E+01
P = 16;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100153  -->  fx: 4,057358200899790E+01  -->  sd:1,331407255033690E+01
P = 16;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100153  -->  fx: 4,079290798150960E+01  -->  sd:1,550942836873450E+01
P = 16;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 4,161245373239400E+01  -->  sd:1,369772523004540E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 4,196226684113040E+01  -->  sd:1,219969031032120E+01
P =  8;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 4,308289638274510E+01  -->  sd:1,537839771592320E+01
P =  8;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 4,522464553842890E+01  -->  sd:1,963140439178740E+01
P =  4;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 4,762345527858010E+01  -->  sd:1,614908725532770E+01
P = 16;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100153  -->  fx: 4,799217519715490E+01  -->  sd:1,859109020697020E+01
P =  8;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 5,205805313974690E+01  -->  sd:1,114089429172930E+01
P =  8;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 5,231858565516840E+01  -->  sd:1,434669885173190E+01
P = 16;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100153  -->  fx: 5,273766104552720E+01  -->  sd:1,118646288202160E+01
P = 16;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 5,322672376097160E+01  -->  sd:1,682720456576520E+01
P = 16;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100153  -->  fx: 5,412459210357080E+01  -->  sd:1,552765075808350E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 5,441876633031150E+01  -->  sd:1,608587993569000E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 5,654356423006120E+01  -->  sd:1,392308045586410E+01
P = 16;   s =  1;   std1 =  8,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 5,725810453797410E+01  -->  sd:2,040710402911710E+01
P =  8;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 5,863710028247170E+01  -->  sd:1,658603638735490E+01
P = 16;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 5,950437629300200E+01  -->  sd:1,883942293032400E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 6,034643110270940E+01  -->  sd:1,545689027105190E+01
