




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
45000;7,53030802083399E-05;2,347756579081013E-06;5,849200383241492E-05;0,0002818621055574811;
50000;7,369141020834078E-05;2,15541957943451E-06;5,759909517880575E-05;0,00016214550716919094;
55000;7,154632666667335E-05;1,5072134477854574E-06;5,4635608032218996E-05;0,00015581823082721967;
60000;5,620477666667082E-05;1,2954217812797107E-06;5,4480071081168234E-05;0,00014796805713043168;
65000;4,321944000000183E-05;1,1474947193509503E-06;5,4456648981601086E-05;0,00011794267740927195;
70000;4,1470073333334794E-05;1,1244460350796918E-06;1,717521946241365E-05;0,00011779453700065113;
75000;4,1470073333334794E-05;1,0122561694888633E-06;1,7170968811939686E-05;9,98951588337397E-05;
80000;3,530871312500207E-05;1,0110227522164295E-06;1,6769147882523997E-05;8,257938359462102E-05;
85000;3,127500979166869E-05;9,553625038294573E-07;1,6492529449419444E-05;8,257938359462102E-05;
90000;2,7418043333333203E-05;9,306756204440451E-07;1,6134330751247772E-05;8,247240481419026E-05;
95000;2,7418043333333203E-05;8,491802656247838E-07;1,6134330751247772E-05;7,835110299041181E-05;
100000;2,4813376666667608E-05;7,693238212728037E-07;1,0138753648412298E-05;6,266270528100756E-05;











============================================================================
Função: Schwefel
============================================================================
parameter;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
meanNFE;100000;100000;100000;100001;
meanFX;409,3915748666344;109,63172116244051;393,9552274276253;710,7193465161628;
melhorFX;0,6230597752200993;11,19582318851917;187,26219566005966;237,51090483011876;
piorFX;718,3134839960308;264,5791689728926;643,9820388172434;990,7514484546914;
medianFX;418,3185236773861;135,8013088644243;387,2735586268309;735,4182730383855;
sdFX;182,36708977089515;76,54454213877979;110,36147754151382;196,80840311521618;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
5;3957,4403587229585;3893,3310589508924;3873,6232563753683;3894,6915357716525;
50;3774,4978324163585;2811,8986448870055;3170,808739230259;3293,982015433076;
100;3681,130008373656;2188,1777533289196;2541,5990098475936;2998,6330662602463;
500;3283,1847374303065;1164,8721221863766;1554,336551433112;1819,448251347425;
1000;2483,7659934943886;828,704023467334;1327,423400412901;1735,6935910766422;
1500;1867,9080869027298;699,7539003093103;1229,8145065294957;1697,5860278263958;
2000;1471,8794588809515;673,0258341525067;1173,2926207965356;1641,5382753570404;
2500;1192,9381548370645;648,3839756283628;1105,4710969690498;1618,7199760380333;
3000;1033,3751670373322;628,8099093811002;1013,5393785379975;1605,3478865622353;
3500;942,0939995502912;625,1581729023954;990,7505896258979;1600,341991012443;
4000;890,9434146506677;617,7178901359017;988,1119715979061;1574,2334637464023;
4500;862,9885306638761;602,9060429962907;967,6924941176065;1565,728800710184;
5000;850,040578174216;592,454931788195;934,5482754782206;1543,237598643371;
6000;839,8474688244005;573,0548105123429;898,9024046903544;1519,8141228803738;
7000;837,2986945300388;564,8856567653701;826,5488875056491;1438,3363621981705;
8000;836,4485398976432;554,1565569887406;812,410886924917;1392,4757824582705;
9000;832,1754625780071;545,5806364392478;775,4579753380054;1367,0338606542;
10000;828,5070305840727;538,4736832370588;758,279246025199;1335,5644275180612;
12000;814,2337517662905;515,3998510118981;712,7007319767978;1256,2583990736898;
14000;795,1321099737748;491,44546953880257;675,2700081396792;1220,8347656966541;
16000;772,3120469362876;471,97390764446703;644,6844666335575;1202,2188719170492;
18000;763,3737427211433;450,00145080598674;628,585451926492;1167,0412359175557;
20000;756,8363094722603;432,3559104665259;616,1495195012056;1142,1278479341647;
25000;716,7584524338024;392,66322104570884;580,3232278145847;1081,5044870286822;
30000;659,3579888877683;332,2683151865239;541,4048384970382;1032,4193310736325;
35000;609,5247909280434;269,4065571415695;492,1395231258137;1005,2823861422916;
40000;595,2681477307974;243,63054989903654;473,77185970587925;970,5213336508427;
45000;563,8592142907283;233,11370120176187;451,358316579038;912,3134265266661;
50000;534,1498810328642;214,76353466486634;441,7797819806623;858,1979065819761;
55000;520,1260393115818;201,92973931516414;435,7129148850955;839,5148824609322;
60000;511,78777656956083;187,7417579127877;430,1440949125446;811,76716038105;
65000;485,90480461868697;172,30327222066435;423,9791292645567;807,1041318537154;
70000;471,4018077568419;157,2961693588964;413,01833312691076;799,2952302091715;
75000;454,89726456249406;148,0630032437581;406,6553652497635;796,3084545556219;
80000;451,2721157568249;131,7395338119581;406,6553652497635;790,162941827936;
85000;432,82329506771623;123,4222688232492;401,8982480156808;753,1137435045459;
90000;415,0068506018282;120,98876026487336;401,8982480156808;735,3353206954158;
95000;409,40084789323527;120,4787928254108;394,2510531820295;719,5459548261946;
100000;409,3915748666344;109,63172116244051;393,9552274276253;710,7193465161628;











============================================================================
Função: Ackley
============================================================================
parameter;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
meanNFE;100320;100020;100020;100006;
meanFX;0,5696235188626088;0,06738095032606709;0,19850675786960145;0,22875571667715172;
melhorFX;0,002611821863514052;0,05584347389840971;0,12835420790030128;0,0940263619041275;
piorFX;1,8997615696212016;0,07964511747572445;0,6967165817596239;0,47357040439265674;
medianFX;0,0059418598923350885;0,06850149361051905;0,18760364077933644;0,21734119182884015;
sdFX;0,7627806851228093;0,0063558178818747995;0,09908591207185535;0,10304143215122638;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
5;21,094985564209207;21,143759779749157;21,13834308404015;21,106859536536547;
50;21,05631210197259;21,05985721968751;21,105123714047174;21,05524436834393;
100;21,044381842740343;20,93798399882416;21,05851494113455;20,99072483083006;
500;21,008811962611144;20,044608442706636;20,238065208885203;20,21719840516483;
1000;20,966302604010664;19,576019833420737;19,64122350600586;19,57371531156328;
1500;20,900980166829637;19,457914034617122;19,52448200206422;19,344015201625094;
2000;20,80621484644927;19,411868198993112;19,486922779597762;19,137237142492204;
2500;20,671575931650853;19,378707464719206;19,464149331840872;18,878158313092353;
3000;20,52103034869014;19,34343522492762;19,45096809287962;18,383551460499792;
3500;20,339082489229188;19,31679037360907;19,43844812836172;17,72397671392877;
4000;20,1295373310701;19,284894460197368;19,42585532612262;17,141241272581237;
4500;19,90394777099261;19,251094618803332;19,414556870362276;16,51734019220042;
5000;19,654149282522567;19,212682552262667;19,40552182680771;15,919644259453365;
6000;19,102055138977768;19,128714446456684;19,394079985694383;14,478222988677423;
7000;18,448306111236924;19,032801772923403;19,375477752352694;12,900250707756909;
8000;17,7712261880434;18,932156450284502;19,353896607434216;11,327429490097586;
9000;17,033845752445053;18,81086071401334;19,335716500024166;9,946134904676727;
10000;16,266112401212652;18,667425396224065;19,32299780187284;8,869914487682136;
12000;14,736786187332106;18,29677883963163;19,281410753291972;7,565419402663361;
14000;13,21683095638031;17,756543156723634;19,230600166689968;5,603408655013264;
16000;11,819459414171705;16,971262602438138;19,187985887526416;3,8133540705840843;
18000;10,468680939823624;15,747130042275696;19,11767914199224;3,1260983079540323;
20000;9,355092815674187;13,929134430109245;19,043870060800167;2,523961896383676;
