




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2var_5;AGEO2real2_P_AA_p3;
3500;989,8971096434979;507,29182334950065;
4000;952,4514057988702;447,3296048498656;
4500;901,7797917939226;408,1296552777869;
5000;888,3401204536337;386,87153422282637;
6000;850,3161208138246;346,2972076985154;
7000;826,9539875152825;328,96069816217454;
8000;802,996435385186;324,5701510831802;
9000;755,0283664067547;315,073300822444;
10000;727,4103024671782;304,1747426680554;
12000;684,8931998432037;278,06655772784296;
14000;659,2822002277227;219,3990725945522;
16000;620,7975812658598;198,7477575617623;
18000;604,1427021344902;178,69875966266213;
20000;582,9627717703951;171,31005790140858;
25000;545,3519336905731;147,0296288824825;
30000;503,8772415595836;101,0563673861714;
35000;484,36102285833664;82,90696152219822;
40000;480,02872904642174;61,588903107593204;
45000;473,0907865291135;56,85052790683305;
50000;460,9772278705316;56,85052790682546;
55000;443,3892091117789;52,16425847848572;
60000;432,3511238275109;40,294019829651795;
65000;417,33800184620765;40,26916104463905;
70000;391,6160535565697;37,90039435235016;
75000;373,71505528416253;35,533942849003445;
80000;369,61269018492123;35,531627659997746;
85000;363,34020643033824;30,43781490422839;
90000;352,9891003703362;28,42532758313181;
95000;348,98975904550383;21,508358353563928;
100000;345,76944781751826;18,950260813977756;











============================================================================
Função: ackley
============================================================================
parameter;AGEO2var_5;AGEO2real2_P_AA_p3;
meanNFE;100320;100161;
meanFX;1,0059148287664985;4,454406217035967E-07;
melhorFX;0,0035143568051942964;3,2462393662058275E-07;
piorFX;1,6464141974207074;5,37585261639606E-07;
medianFX;1,3404842456074384;4,5114573410387493E-07;
sdFX;0,6711575370112084;3,905313636023976E-08;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEO2real2_P_AA_p3;
5;21,021088086320127;20,95725686261822;
50;20,98516733926548;20,890217132797787;
100;20,96288856698124;20,890022682916314;
500;20,636748510719567;20,776768417167272;
1000;19,746131037446055;20,56707269601945;
1500;18,04258663924804;20,314844083598373;
2000;15,921650821471069;19,666160553711574;
2500;13,153052688709934;19,319646299827813;
3000;10,223303161916224;18,294431149473272;
3500;7,219723478325899;17,2870187658515;
4000;4,981497814515965;15,873292512239436;
4500;3,5254560805721673;14,496178830727413;
5000;2,509288832716803;13,302689548322501;
6000;1,8693761169865852;9,798014324043898;
7000;1,7050298694162063;6,6920521940266475;
8000;1,6304912949531647;4,6454076505464315;
9000;1,6278001610980382;2,943421379132683;
10000;1,6277778182864873;2,0566432669590253;
12000;1,6242391630730606;0,9447670970240998;
14000;1,5914838548130865;0,3726877548209287;
16000;1,5435094560925344;0,06573135183868864;
18000;1,5095522580757856;0,009531937097017575;
20000;1,4967299804347414;0,0019227914207393582;
25000;1,4265893024378866;4,109735700694728E-06;
30000;1,3881659907720345;5,931670735748185E-07;
35000;1,3739768607499843;5,410870929978273E-07;
40000;1,349658998871292;5,210110823838932E-07;
45000;1,3023913582090716;5,088331138836111E-07;
50000;1,2325137635924477;4,958106754315849E-07;
55000;1,1773269705172027;4,840266351635592E-07;
60000;1,1414961646769912;4,808412845136445E-07;
65000;1,1013853740038937;4,7664343888698113E-07;
70000;1,094996962148248;4,613115401497225E-07;
75000;1,0949834618945535;4,5817582353890886E-07;
80000;1,0920318613646773;4,542655842243448E-07;
85000;1,0837345282460722;4,5309123791525963E-07;
90000;1,0835108646538405;4,504558783935408E-07;
95000;1,0593792708961387;4,456666650298757E-07;
100000;1,0137439670572952;4,454406217035967E-07;











============================================================================
Função: beale
============================================================================
parameter;AGEO2var_5;AGEO2real2_P_AA_p3;
meanNFE;100022;100008;
meanFX;0,00013568941165455285;3,1139563793603296E-05;
melhorFX;1,6778542554548538E-07;1,9274530658600315E-12;
piorFX;0,0007948441297897668;0,001556969054888216;
medianFX;6,61586283947904E-05;1,1671310549164168E-10;
sdFX;0,0001724571168185106;0,00022018864899758727;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEO2real2_P_AA_p3;
5;325,7127383245087;4109,068589478859;
50;5,664700996287898;1706,1062902262756;
100;2,779963087583445;258,22621655550967;
500;0,7164294296666975;1,417416232695863;
1000;0,4390007415850039;0,9435273567710688;
1500;0,38838012964397406;0,9076014392322855;
2000;0,33561507324675566;0,883525753244202;
2500;0,2906026034282284;0,8420519133267323;
3000;0,2585112720507886;0,8044692342473233;
3500;0,23061129818850076;0,6273396329347061;
4000;0,17085957189105203;0,5973499055926037;
4500;0,15823357348176278;0,5814466700442932;
5000;0,14274978149438644;0,5643643129871115;
6000;0,11509411034131505;0,4070511757037849;
7000;0,08530189013458597;0,31897637275571084;
8000;0,0742385227489628;0,285930724618275;
9000;0,06410042797272492;0,27580389432457736;
10000;0,06272439335818605;0,2648232086540685;
12000;0,03512381539108936;0,2225764792362419;
14000;0,02931421838829258;0,1834316204415433;
16000;0,009144673329926793;0,17548725332491327;
18000;0,008326381620369232;0,1560547349786885;
20000;0,007259532292254928;0,15343148061571543;
25000;0,003954689771376251;0,0920029340862736;
30000;0,003117583311540071;0,09139542132469432;
35000;0,0015827710556170777;0,04647909821036154;
40000;0,0014572585551172077;0,04569712495379699;
45000;0,0014477519752945326;0,016721623091414787;
50000;0,000995753734732959;0,015231884179626265;
55000;0,0007701410444629918;0,015231665828669616;
60000;0,0005366318438644849;0,015231665812613693;
65000;0,0004988426215561186;0,01523166578291492;
70000;0,0004390270361175048;0,015231665697877681;
75000;0,0003758397216650108;0,015231665697221133;
80000;0,0003398704605421315;0,015231665614224168;
85000;0,00015526418215994165;0,015231665593574592;
90000;0,00015064378677825404;0,015231665569510772;
95000;0,0001358195480876225;0,0015904543281631237;
100000;0,00013568941165455285;3,1964339797556535E-05;



Execution Time: 355 s
