




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,418308164048980E-01  -->  sd:2,413327135925350E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,431891849258630E-01  -->  sd:3,757065675504320E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,579201065505860E-01  -->  sd:3,712016418258800E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 1,621911127162780E-01  -->  sd:4,156379089832430E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,852452654309620E-01  -->  sd:5,007623151761300E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,967872637624080E-01  -->  sd:6,634661327000340E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 2,067467473955420E-01  -->  sd:3,584623461758400E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 2,292308066881900E-01  -->  sd:4,960036847478620E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 2,564522716474110E-01  -->  sd:7,114166319520230E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 2,957480519272250E-01  -->  sd:8,365879321619710E-02
P =  8;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 3,058034082584600E-01  -->  sd:7,624807779023190E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 3,118661694386880E-01  -->  sd:6,316140720629720E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 3,181400220419280E-01  -->  sd:4,693942866610790E-01
P =  8;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 3,888332110638930E-01  -->  sd:2,589802300934160E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 4,186312361755510E-01  -->  sd:9,010336331221180E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 4,573351263649730E-01  -->  sd:1,081206219600490E-01
P =  8;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 4,600227000458850E-01  -->  sd:9,814952862057970E-01
P =  8;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 5,109637365897440E-01  -->  sd:1,821167157240010E-01
P =  8;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 5,485313402603520E-01  -->  sd:7,791114941749780E-01
P =  4;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 5,736021765338260E-01  -->  sd:1,329030704385570E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 5,926385794394760E-01  -->  sd:1,183706416609630E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 6,398485977598020E-01  -->  sd:7,215422500532760E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 7,046494499629380E-01  -->  sd:9,464292066899860E-01
P = 16;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 8,028746281417560E-01  -->  sd:7,872438189783480E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 9,721235203013400E-01  -->  sd:1,526997367408580E-01
P =  8;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 1,083491399769740E+00  -->  sd:1,307531365146340E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,084717250767130E+00  -->  sd:1,360222251795380E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,110240869011220E+00  -->  sd:3,825662840926680E-01
P =  8;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 1,756268645502240E+00  -->  sd:1,112577251562290E+00
P =  8;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 2,074108824811050E+00  -->  sd:2,201912501737930E+00
P = 16;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 2,481131856552890E+00  -->  sd:2,545960632210500E+00
P =  8;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 2,601661360522420E+00  -->  sd:2,272834189404270E+00
P =  8;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 2,974809780857120E+00  -->  sd:2,537080401549620E+00
P =  8;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 3,283294429103230E+00  -->  sd:2,122196350313710E+00
P =  8;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 3,368366890573260E+00  -->  sd:2,652978536229340E+00
P =  8;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 3,464364359258150E+00  -->  sd:2,514596376374650E+00
P =  8;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 3,549527078109720E+00  -->  sd:2,589784179702850E+00
P =  8;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 3,795481403611120E+00  -->  sd:2,888200168315620E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:  100153  -->  fx: 5,177482704142370E+00  -->  sd:3,024852767965960E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100153  -->  fx: 6,172874618803460E+00  -->  sd:4,654908023261680E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 6,390201742257250E+00  -->  sd:4,417628194162860E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 6,656286344494260E+00  -->  sd:4,770566813721360E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 6,678012543332690E+00  -->  sd:4,586777610240640E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 6,687970356358470E+00  -->  sd:5,407696200025780E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:  100153  -->  fx: 6,940880149328310E+00  -->  sd:4,480845984465010E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 6,992575614237590E+00  -->  sd:3,455912413363420E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:  100153  -->  fx: 7,283163119414630E+00  -->  sd:5,454162904626720E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 7,628048093053410E+00  -->  sd:4,236869050752900E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:  100153  -->  fx: 7,894426313821900E+00  -->  sd:4,999515786726240E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 7,903335617169600E+00  -->  sd:7,199825153425970E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100153  -->  fx: 8,740884169282180E+00  -->  sd:4,822540309063120E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 9,525795995461590E+00  -->  sd:5,675952759900810E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 1,004083387855120E+01  -->  sd:5,423415038032740E+00
P =  8;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 1,145284925351060E+01  -->  sd:6,280546418081220E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 1,396021097846460E+01  -->  sd:6,179585448243250E+00
P =  8;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 1,992300135055620E+01  -->  sd:1,596811917238880E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 2,274546425885820E+01  -->  sd:7,109544520480090E+00
P = 16;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 2,558004134280370E+01  -->  sd:1,493804459584880E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 2,689067747666630E+01  -->  sd:1,017150818147620E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 2,707152902002370E+01  -->  sd:7,984971968030290E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 3,739268718022210E+01  -->  sd:1,130478708849130E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,769924489276190E+01  -->  sd:1,074888655635510E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 3,897169513549000E+01  -->  sd:9,849795088440570E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 3,941943857004370E+01  -->  sd:1,170006801976500E+01
P = 16;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 4,071372974361430E+01  -->  sd:1,884064759690560E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 4,257285455179820E+01  -->  sd:1,464035031049070E+01
P =  8;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 4,273436148652310E+01  -->  sd:2,074707943381060E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 4,726464885864670E+01  -->  sd:1,506359137986950E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 4,955151979383880E+01  -->  sd:1,721380055361400E+01
P = 16;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 5,069585699762380E+01  -->  sd:2,234230749538820E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 5,119070080826820E+01  -->  sd:1,291687028419430E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 5,329149799286670E+01  -->  sd:1,573036664673710E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 5,538935764557380E+01  -->  sd:1,928291879838880E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 5,847415259432250E+01  -->  sd:1,750239854044400E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 6,039393748731320E+01  -->  sd:1,600633535730690E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 6,075983563956440E+01  -->  sd:1,770586712597150E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 6,331141069175040E+01  -->  sd:2,240038461952520E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 6,767860864039250E+01  -->  sd:1,530233990733390E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 6,902274828066930E+01  -->  sd:1,506921555265960E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 7,072296898326670E+01  -->  sd:1,685174426331380E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 7,073443889124430E+01  -->  sd:1,789481077389330E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 7,140637844970310E+01  -->  sd:1,866299374474770E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 7,216681067653520E+01  -->  sd:1,711182244460920E+01
P = 16;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 7,253046568493480E+01  -->  sd:2,950928683551320E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 7,705420416200130E+01  -->  sd:2,017566190678260E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 7,925304334540430E+01  -->  sd:1,906416968432650E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 8,151536642866170E+01  -->  sd:2,385861206064620E+01
