




============================================================================
Função: Griewangk
============================================================================
P =  4;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 2,826079352062840E-01  -->  sd:6,070488775102140E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 2,901894835809840E-01  -->  sd:5,521624293866000E-02
P =  4;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,184148321953870E-01  -->  sd:8,641492062693790E-02
P =  4;   s = 10;   porc =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 3,438559769377840E-01  -->  sd:8,220553199028700E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 3,661355576747470E-01  -->  sd:7,477617074049330E-02
P =  4;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 3,738835894861190E-01  -->  sd:8,904517602064000E-02
P =  4;   s = 10;   porc =  5,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 4,336256598908670E-01  -->  sd:1,222084103875670E-01
P =  4;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 4,822361616850530E-01  -->  sd:9,604757392825630E-02
P = 12;   s = 10;   porc = 50,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 4,925912734405160E-01  -->  sd:2,122837086571090E-01
P =  4;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 5,024419838363810E-01  -->  sd:1,115836793266400E-01
P =  4;   s =  2;   porc =  5,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 5,407340048219940E-01  -->  sd:9,708819255336430E-02
P = 12;   s =  2;   porc =  5,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 5,701754471193380E-01  -->  sd:1,477323702867220E-01
P = 12;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 5,702437932713090E-01  -->  sd:1,643178568759350E-01
P =  4;   s =  2;   porc =  5,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 6,021011375595510E-01  -->  sd:6,324857669826340E-02
P =  4;   s =  2;   porc =  5,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 6,160106713385030E-01  -->  sd:9,471354271565570E-02
P =  4;   s =  2;   porc =  5,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 6,237709549690150E-01  -->  sd:9,281698922663280E-02
P =  4;   s =  2;   porc =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 6,576658903467510E-01  -->  sd:9,057571682204700E-02
P =  4;   s = 10;   porc =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 6,647866643383920E-01  -->  sd:1,513899158581970E-01
P =  4;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 6,731390063844950E-01  -->  sd:1,246166947035100E-01
P =  4;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 6,785733225054840E-01  -->  sd:1,016654021373040E-01
P =  4;   s = 10;   porc = 10,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 6,910268325123620E-01  -->  sd:1,155467141201800E-01
P = 12;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 7,408941085031830E-01  -->  sd:1,735684323727070E-01
P =  4;   s =  2;   porc =  5,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 7,468543052975520E-01  -->  sd:9,378854872872480E-02
P =  4;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 7,713162208710960E-01  -->  sd:1,117742191283080E-01
P =  4;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 7,812215490129570E-01  -->  sd:1,092261934232430E-01
P = 12;   s = 10;   porc =  5,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 7,821814587159680E-01  -->  sd:1,923980771228170E-01
