




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
95000;1,8119967655313295E-08;5,814819283521217E-09;2,569168008381947E-08;1,3336043210774506E-08;
100000;1,4816777737383553E-08;5,483239163856084E-09;1,9084508815064134E-08;1,2107078246589688E-08;











============================================================================
Função: Schwefel
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
meanNFE;100080;100080;100080;100080;
meanFX;0,00012727566224839392;0,0001272756623393434;0,0001272756623393434;0,00012727566222565657;
FXatual;0,00012727566224839392;0,0001272756623393434;0,0001272756623393434;0,00012727566222565657;
medianFX;0,00012727566263492918;0,00012727566263492918;0,00012727566263492918;0,00012727566263492918;
sdFX;4,553299870650547E-13;4,3141121661870516E-13;4,3141121661870516E-13;4,582320558763777E-13;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
5;4055,2734568064625;4085,3015093587283;4069,5678553783646;4081,9878435101346;
50;3824,5085230563027;3876,8516533416578;3854,486015556552;3931,0233269838254;
100;3704,68081232192;3753,5792704031473;3732,2821118468323;3818,0815739055492;
500;1235,2018513586802;1788,8648971642106;1288,3122843820415;1765,605323708379;
1000;786,7724202488689;1143,587402761201;777,7454501543009;1188,4431865889037;
1500;594,2197497327082;897,3745220143122;597,6109859551991;899,0952856355885;
2000;502,103283534111;755,9071309538169;494,2065640567413;730,3376343392327;
2500;431,2430381976301;643,4338190865584;425,7171370029288;619,6190131384058;
3000;381,00935218243455;534,7659714640438;378,82214940363474;532,979880796724;
3500;360,01242648686423;473,56377106996587;361,0112127517703;459,82276533778895;
4000;336,71415315127655;414,7369184013476;336,05296414910185;407,8733604613455;
4500;306,5851246170325;367,2699371540086;311,4849260541294;365,0100375021945;
5000;282,7070309887366;330,5069318951882;284,8798734905336;305,5603483913205;
6000;254,28326842047528;288,80124520790577;241,34865736825026;245,5774047038473;
7000;215,94534376823495;248,93088197610274;199,9035663571302;217,56088932122088;
8000;179,12420953100983;209,98828331975292;181,3565832615501;187,36079646917884;
9000;152,17836228119972;174,84795714552965;155,91359596060198;165,2250781303016;
10000;134,61705177053062;143,61617123711875;128,1454348972175;136,25595436256248;
12000;96,4868505608758;120,16452472134173;84,32921314920686;113,0917077472333;
14000;63,12717242839608;95,97492040843498;51,35212844417888;84,3303278225585;
16000;36,36320891612432;77,44975708217734;27,483672292678477;69,06660681673489;
18000;20,301110117185523;59,280164455787784;13,390295306258054;56,045824993723144;
20000;11,848959485668194;48,10797941299292;10,285727097301493;40,15979832731854;
25000;0,022056667598758396;24,414896310694417;2,961085641359773;20,75528419994897;
30000;0,00012727566304420178;12,115904143822581;0,0001272756626121918;2,9711160084484165;
35000;0,0001272756625439797;5,3985079505438875;0,00012727566256671708;2,9661498877859684;
40000;0,0001272756625439797;2,961312582983976;0,00012727566252124234;1,877321339961145;
45000;0,00012727566252124234;0,0001272756861453672;0,00012727566249850497;1,8722570939401748;
50000;0,00012727566252124234;0,00012727566249850497;0,0001272756624757676;0,000127275663180626;
