




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
parameter;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
meanNFE;100000;100000;100000;
meanFX;304,80674828662404;0,00012727566261673927;0,00012727566821922663;
melhorFX;68,78787492469019;0,00012727566172543447;0,00012727566263492918;
piorFX;589,804193614073;0,00012727566263492918;0,0001272758763661841;
medianFX;318,0795100064661;0,00012727566263492918;0,00012727566354442388;
sdFX;106,92534400428248;1,2862197421537523E-13;3,0082152977434206E-11;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
5;3893,1016293197436;4013,7261529449797;4007,47521681594;
50;3684,66741483665;3801,462929955133;3807,797820853464;
100;3542,573884676899;3717,5043449650693;3715,473452677966;
500;2294,619184515026;1639,880894766641;2907,9827205233632;
1000;1243,5829982015418;1007,6590475965626;1926,9913708312604;
1500;942,2435765226192;755,9087339569274;1156,6537320589066;
2000;926,4789050029286;584,6465093489301;784,9698658179406;
2500;920,9065930883626;491,8331912026237;645,7149080763988;
3000;919,8218292739547;441,8653821931633;530,810857950078;
3500;913,7581180804522;392,37102320562417;478,36867458735077;
4000;895,2424536315012;335,7166067370814;407,9979288008653;
4500;850,308590317714;292,80444680741226;371,918336433898;
5000;808,7399954743996;258,5540543727972;338,62685984919136;
6000;768,1693133798452;222,71728248624;291,935157362842;
7000;728,5094056808202;185,35949667281494;237,85679613144328;
8000;695,7442450320755;143,2803110343209;199,17580511798863;
9000;686,7602935027861;116,44448264679198;175,80052200117055;
10000;656,9982901876399;108,84015304903207;142,97215604900575;
12000;619,8189319973219;72,63948461458284;106,70157688587261;
14000;611,6359533928673;48,743433331854256;88,79489397315899;
16000;585,7834753431194;31,777139068846655;69,34916181795914;
18000;538,3782763134694;24,48302284039306;64,01850984535378;
20000;517,6639089651145;16,581792706504483;56,881015920020175;
25000;464,0259032313424;7,106565371067572;33,44031909017826;
30000;444,0150831988041;4,737660660240872;26,919988422047673;
35000;430,0667261970863;0,031130048802879173;14,212756608910059;
40000;414,5888109590818;0,00012727566321700577;7,5655982715549275;
45000;403,91972502404207;0,000127275662835018;7,106427363422244;
50000;385,6412774850819;0,00012727566279863823;4,737660674510289;
55000;370,7228106393918;0,00012727566276225842;2,36889397901361;
60000;361,4847618683553;0,00012727566265311908;2,368893979013119;
65000;354,4392298924115;0,00012727566261673927;2,3688939788345307;
70000;346,036726820905;0,00012727566261673927;2,368893978834367;
75000;337,16039464392225;0,00012727566261673927;0,000644680566038005;
80000;333,77219044922805;0,00012727566261673927;0,00012728654974125675;
85000;330,2901287572208;0,00012727566261673927;0,00012727566860121442;
90000;319,5235873846267;0,00012727566261673927;0,000127275668328366;
95000;312,2100539305848;0,00012727566261673927;0,00012727566823741654;
100000;304,80674828662404;0,00012727566261673927;0,00012727566821922663;











============================================================================
Função: ackley
============================================================================
parameter;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
meanNFE;100320;100200;100200;
meanFX;0,6744581459688845;5,5251792687727177E-08;2,864690777926171E-08;
melhorFX;0,0035143568051942964;3,610857035596382E-08;2,1803856498081586E-08;
piorFX;1,6463102082021095;1,9695984931900057E-07;3,295316020057726E-08;
medianFX;0,011387922681066698;4,955815668949981E-08;2,8603277968386465E-08;
sdFX;0,7071389774478472;2,275284450785619E-08;2,3021995042287405E-09;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
5;20,989443941605458;21,016162469046485;21,015676057132314;
50;20,946524099782465;20,984116567508696;20,98581774732228;
100;20,929297172582228;20,97248999400802;20,97458201729015;
500;20,585333827296513;20,08815281970493;20,864502963458666;
1000;19,656012605852357;19,249720651639908;20,49431333011726;
1500;18,078016947855428;18,994560921120552;20,223723993594568;
2000;16,001553557039298;18,58495164208935;19,76571812179115;
2500;13,337616866304607;18,14181938413042;19,360797649662764;
3000;9,925650973517921;17,772438698665397;19,16445845386702;
3500;6,927823426204875;16,97639512180527;18,668475367742346;
4000;4,6417513879589425;16,023657921743492;18,120920193142766;
4500;3,054738164694433;15,246760095141683;17,715800846093632;
5000;2,320405731452965;13,815349205244098;16,872901191288076;
6000;1,798393133351912;11,258441997652717;15,04158940970558;
7000;1,5954856014138366;8,08420148748582;12,121656925630173;
8000;1,5460413476042763;6,0435670872557266;9,45323846121924;
9000;1,52951207138005;4,208664289922507;7,146167854675924;
10000;1,5251164826019457;2,995686221014947;5,0361622279741365;
12000;1,5247892888270937;1,5535103579742988;2,536832837605146;
14000;1,504366040215958;0,6199426988624299;1,119674572566154;
16000;1,4871699847820938;0,1914545625733448;0,4489919855928445;
18000;1,4497863178598813;0,028343532046920857;0,13423007295495906;
20000;1,3969317160628605;0,0027838682738904196;0,035920638670465264;
25000;1,3106210019914313;3,266357440409706E-05;0,00020363497981385593;
30000;1,198394481181896;2,7132372843396978E-06;1,022016735419129E-07;
35000;1,0916696471129266;4,4562435398631804E-07;3,539568645294366E-08;
40000;1,0252362698025543;1,3233942510737507E-07;3,2916958332407376E-08;
45000;0,975886882804464;8,711842340858311E-08;3,183058552735929E-08;
50000;0,974893061138838;7,830542770648208E-08;3,130261866601813E-08;
55000;0,929622565577446;7,309406683475573E-08;3,078745642426384E-08;
60000;0,8209085953738545;7,071938647129628E-08;3,0485551434367156E-08;
65000;0,8176629288940833;6,81310291383852E-08;3,0136547337633604E-08;
70000;0,8056792365147274;6,487598689375317E-08;2,986407579896877E-08;
75000;0,7773825355907852;6,297096625473842E-08;2,9537694672399084E-08;
80000;0,7701876483526672;6,001325125737367E-08;2,9267210663874722E-08;
85000;0,7402395669155879;5,847596412422718E-08;2,9100468950105097E-08;
90000;0,7014432758121731;5,662078493173794E-08;2,8989748201979638E-08;
95000;0,7012610626223857;5,620611780443596E-08;2,878806562023328E-08;
100000;0,6744874841808658;5,5251792687727177E-08;2,8660478292863445E-08;











============================================================================
Função: beale
============================================================================
parameter;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
meanNFE;100022;100000;100000;
meanFX;0,0001955417714721101;7,804663049022041E-09;1,570871918843675E-05;
melhorFX;1,6778542554548538E-07;2,460956840940535E-10;3,084383064736827E-08;
piorFX;0,0016765669224807522;5,067488039188339E-08;0,00013864193946799754;
medianFX;0,0001434199469481289;4,4246166665539025E-09;4,074438154080988E-06;
sdFX;0,00025757584412280026;9,648612119715697E-09;2,90451852658656E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
5;251,1460172435148;5502,046043960041;5093,169044757199;
50;6,436234386998961;22,362095086494584;352,1665217180678;
100;2,9306379599126533;1,692693141365242;27,949825806959325;
500;1,080334622975907;0,6375642899312277;0,47295690380396577;
1000;0,6711779186177158;0,4639199549576494;0,1745466142064756;
1500;0,4100190377850889;0,37768461234878603;0,06899285653483311;
2000;0,3722737085681974;0,33832130054685067;0,028206698248729;
2500;0,31590144503379497;0,29531013363728387;0,01097524255990957;
3000;0,2594595355424967;0,2629423263066176;0,008216711141356308;
3500;0,20170223557823352;0,24871762641687684;0,00445986206378308;
4000;0,17470358506010805;0,22097884498879405;0,0029146152043225825;
4500;0,1569955347160271;0,21283768770914333;0,002429178298384024;
5000;0,11902495848956382;0,19888805328816533;0,002179222414206917;
6000;0,08551010423965405;0,19606691938407908;0,001801316347514328;
7000;0,06381581526352294;0,18528861384098316;0,0013637611562707784;
