============================================================================
Função: Paviani
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;-4,3362905328509465;-42,52918536586292;-17,307071633986634;
sdFX;7,334062377042941;1,9362626298079242;4,315165135794541;

==========================================================
===> Médias para cada NFOB:
1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100001;100001;100001;
meanFX;1;1,0001349200466918;1,0000056763240117;
sdFX;4,1232648001943564E-17;0,00010376324139278161;3,8676359070515106E-06;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;58,301076589437464;219,62739368833908;1952,1913312763288;
1000;2,0715007540568617;1,7471404348426487;19,287790044772745;
1500;1,004365520720919;1,036807073026672;1,2765733453700754;
2000;1,000006967464897;1,0200361260250512;1,150740277351418;
2500;1,0000020044660047;1,0115377592125612;1,1466712321967558;
3000;1,000001896623793;1,0064799683148575;1,0006097913779926;
3500;1,0000000028469762;1,0062936973448482;1,0002691798957455;
4000;1,0000000001925269;1,0043084655111434;1,000231589203573;
4500;1,0000000000221074;1,0034918317331962;1,0001929522694544;
5000;1,0000000000221057;1,003015530667175;1,0001845434626442;
6000;1,0000000000007154;1,0024996988660826;1,0001242209082202;
7000;1,000000000000478;1,0018627768783661;1,000073092917961;
8000;1,0000000000000975;1,0015119840323226;1,000068583217849;
9000;1,0000000000000135;1,001214273489698;1,000068583217849;
10000;1,0000000000000122;1,00097983179382;1,0000596040325034;
12000;1,000000000000001;1,0007599623651733;1,000052720090717;
14000;1,0000000000000002;1,0006468652336664;1,0000410501394292;
16000;1,0000000000000002;1,00054099199921;1,0000395770034336;
18000;1;1,000518915169161;1,00003068022728;
20000;1;1,0004923516796187;1,000027178401367;
25000;1;1,0003630426861458;1,0000183208860718;
30000;1;1,0003231097858758;1,0000165976413158;
35000;1;1,0002871030516678;1,0000161717583866;
40000;1;1,000257956984507;1,0000155491725125;
45000;1;1,0002463758330544;1,0000148749331725;
50000;1;1,000240826401948;1,0000097710692255;
55000;1;1,0002302306654252;1,0000097177514287;
60000;1;1,0002102777992083;1,0000097177514287;
65000;1;1,0001921659881607;1,0000086232621983;
70000;1;1,0001904162181194;1,000007528025917;
75000;1;1,0001834099154925;1,0000070407801567;
80000;1;1,0001746503079718;1,0000067961160013;
85000;1;1,0001582804353004;1,000006477372086;
90000;1;1,0001384964277331;1,000006477372086;
95000;1;1,0001349200466918;1,0000061797902957;
100000;1;1,0001349200466918;1,0000056763240117;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;1;1,0001258486094173;1,000009466858767;
2;1;1,0001930100341243;1,0000028371784841;
3;1,0000000000000002;1,00009184462231;1,0000027884077034;
4;1;1,0000090568757465;1,0000082867763433;
5;1;1,0002022473372323;1,0000022460259694;
6;1;1,0001184669325316;1,0000040284762763;
7;1;1,00020752277247;1,0000063502909549;
8;1;1,0001403947867094;1,000002814436626;
9;1;1,0001156608256707;1,0000021702591944;
10;1;1,0000685440690684;1,0000035425854559;
11;1;1,0000307120363903;1,0000024563141923;
12;1;1,0000967715807383;1,0000108885816124;
13;1;1,000424430792413;1,000004105248384;
14;1;1,000101399545643;1,0000162441651659;
15;1;1,00009005671801;1,0000042754187841;
16;1;1,0000813578679713;1,000007561054889;
17;1;1,000403008203497;1,0000029968581823;
18;1;1,0000297862771852;1,000008426401403;
19;1;1,0000113116205138;1,0000022630009664;
20;1;1,0001218076695868;1,0000055667346572;
21;1;1,00007589475584;1,000002429689372;
22;1;1,0000602533726932;1,0000073365405733;
23;1;1,0001022891389382;1,0000024584358087;
24;1;1,0001115828166167;1,0000081416186;
25;1;1,0000847858204691;1,0000168857342804;
26;1;1,0003178602806626;1,000003857364397;
27;1;1,0001307548259104;1,00000351138728;
28;1;1,000122905397978;1,0000079103543482;
29;1;1,000296318033933;1,0000040768900744;
30;1;1,0000817177804955;1,000004366631612;

============================================================================
Função: Bird
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100001;100001;100001;
meanFX;-106,76441439625798;-106,76453673139693;-106,76453555978765;
sdFX;0,00014942395836022756;2,3439071473663347E-08;1,7279632826752674E-06;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;-98,73548592450268;-86,1094732908561;-88,05413224848984;
1000;-105,41638369251824;-92,59539686880387;-98,98488836597497;
1500;-106,59075793410483;-93,60001991715781;-99,40201431868084;
2000;-106,7132297739011;-97,12382055139929;-103,27724595883036;
2500;-106,74794704423998;-102,50697770311102;-106,7627374869338;
3000;-106,75099293631942;-106,76016919815257;-106,76427977671658;
3500;-106,75365775317917;-106,76452060576078;-106,76430439989645;
4000;-106,75853912314389;-106,76452665213934;-106,76436774702343;
4500;-106,75864210268607;-106,76453528736229;-106,76440563562282;
5000;-106,75917191560218;-106,76453538751865;-106,76440757667966;
6000;-106,75955882185794;-106,76453569914722;-106,76440939069188;
7000;-106,76013020101996;-106,76453573989724;-106,76444453987455;
8000;-106,76075713439555;-106,76453577730702;-106,76450046999734;
9000;-106,7630155077506;-106,76453598011561;-106,76451334016853;
10000;-106,7630155077506;-106,76453650692365;-106,76451394833322;
12000;-106,76335504758603;-106,76453654479225;-106,76452480084522;
