




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
30000;3,60746882567809;2,0661543689370485;3,091201947279326;2,840413129518064;2,6143172023570798;0,05981307461692405;0,03361568071193413;0,041539159318573805;0,07117026725675446;0,07638413392454761;
35000;3,40095837894326;2,0661543689370485;2,8932916981847674;2,3215618322166596;2,6143172023570798;0,05056313353630014;0,02841113126584142;0,032759974640626334;0,0642245413013168;0,06463141112914526;
40000;3,3067831833720502;1,9306393456345627;2,8707773841466255;2,260465735310631;2,6143172023570798;0,04045936876368429;0,02309512654798127;0,025832549240750458;0,05465682324683418;0,05554970529226315;
45000;3,159821575851812;1,736845658139943;2,8707773841466255;2,1607853671140744;2,5138353030919123;0,03576189443556969;0,020054668059881507;0,025122715749966707;0,04798270259334269;0,04942600056647623;
50000;3,060119651550151;1,6443904026323957;2,7429789970613347;2,1545585077218323;2,5138353030919123;0,03555522267663857;0,016353597831834134;0,023528134165364287;0,04273721871853772;0,047344078723789644;
55000;2,945331915242619;1,6443904026323957;2,6115638443983737;2,1545585077218323;2,4560308783452856;0,03323686580650389;0,015218073725251835;0,023435077178804505;0,03753249219290654;0,045712435891295214;
60000;2,837967155701738;1,6443904026323957;2,2914237026562057;2,1419452278839226;2,2142335451409765;0,02919937259955925;0,009115049780607771;0,021465576898455633;0,03020627483645327;0,03191610896354822;
65000;2,837967155701738;1,6382432565268965;2,2396638795559536;2,1419452278839226;2,1810303709992813;0,029198119635558902;0,008429989822475321;0,021465576898455633;0,029015396021520125;0,0312206449371772;
70000;2,771788061541367;1,6382432565268965;2,1607861114495974;2,0987581018775203;2,178858123640479;0,029198119635558902;0,00841005008884913;0,021230860868256037;0,027812171231377435;0,02921316067161043;
75000;2,749032984279022;1,6382432565268965;2,0832663374518297;2,0987581018775203;2,027910741952825;0,027444929698900455;0,008313296837377755;0,020721082724203643;0,02777879376054774;0,02921316067161043;
80000;2,749032984279022;1,6382432565268965;2,0832663374518297;2,0987581018775203;2,027910741952825;0,027444929698900455;0,008026791162128922;0,019488847481346702;0,02655071228270833;0,017502709212587047;
85000;2,749032984279022;1,6382432565268965;2,0832663374518297;2,0987581018775203;2,027910741952825;0,027190604821337016;0,006339132452187239;0,017683017473605473;0,02655071228270833;0,01484574593818652;
90000;2,6918346261991597;1,6382432565268965;2,0832663374518297;2,0987581018775203;2,027910741952825;0,026307596666331666;0,005651171745445497;0,01666857046585583;0,025826530586999637;0,014598084332814232;
95000;2,6918346261991597;1,6382432565268965;1,9957328159111445;2,0987581018775203;2,027910741952825;0,02331189822040596;0,005651171745445497;0,01510939501740128;0,019881983270206512;0,013787369648765369;
100000;2,6918346261991597;1,6382432565268965;1,9674880725226132;2,0987581018775203;2,027910741952825;0,022992941070043692;0,005631338279867748;0,013084415398776295;0,018863017159099785;0,013739706714155479;











============================================================================
Função: Rastringin
============================================================================
parameter;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
meanNFE;100160;100160;100160;100160;100160;100160;100160;100160;100160;100160;
meanFX;24,667386900560277;29,415165715486808;27,101484322929473;29,427179998553154;29,39773365935688;9,296788304615776;12,68806475951333;13,506487187074871;14,704264292587068;15,690701855607355;
FXatual;24,667386900560277;29,415165715486808;27,101484322929473;29,427179998553154;29,39773365935688;9,296788304615776;12,68806475951333;13,506487187074871;14,704264292587068;15,690701855607355;
medianFX;24,16951632787984;26,923599655707847;27,88100335431964;28,1115544606815;25,850319156791556;9,061777000648995;11,96703962425569;13,901424097676077;15,007659242660694;15,132069730220238;
sdFX;9,259017347707518;13,11776574730623;10,865795404401945;11,080735266252315;11,24482317422337;1,7197783703787415;2,640897544717663;3,401201724267183;4,4288979839683025;3,5770286495269374;
