




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap_p;
45000;427,1848698142041;877,5221825912782;
50000;422,09996961375384;871,4831497480245;
55000;413,4064711931545;833,141185091083;
60000;394,2315665259893;783,3995806399978;
65000;377,02985529000455;765,649516407949;
70000;373,70820485190325;748,2768940403827;
75000;369,1700438811672;727,3639514500361;
80000;359,2452230660077;713,0530295119686;
85000;354,67720380900107;698,5397882044628;
90000;349,2421576260056;694,4195391874869;
95000;340,86282155773506;685,6389602760662;
100000;328,80040105039154;681,7926486737244;











============================================================================
Função: Ackley
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap_p;
meanNFE;100020;100006;
meanFX;0,19207901309340764;0,23645896431771005;
melhorFX;0,1270347161792209;0,0779543592594969;
piorFX;0,23633194236403554;0,5070491123338847;
medianFX;0,19688050420956316;0,21845212026196847;
sdFX;0,02676374031509322;0,10135843777443862;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap_p;
5;21,06940275852543;21,076795783240712;
50;21,0203888987593;21,017991539530183;
100;20,96206767679883;20,951035654216046;
500;20,150953268027486;20,641016863120004;
1000;19,580704543055557;19,884356967182597;
1500;19,453399820711397;19,51257912350655;
2000;19,417533159380206;19,26151427696218;
2500;19,397882385910933;19,055336250727144;
3000;19,385248427839425;18,755581014175355;
3500;19,37219109568248;18,366053382378432;
4000;19,362805944196268;17,990931735849923;
4500;19,354541024496513;17,542460888823527;
5000;19,346782793129822;16,932660799579434;
6000;19,32746626356525;15,666600482529512;
7000;19,301556828329257;14,27044284762989;
8000;19,285357722770296;12,982901415499597;
9000;19,26030482711098;11,381529809600504;
10000;19,233977213077345;9,800816612409006;
12000;19,175069244777138;7,74024378100366;
14000;19,10974552910396;6,432299124134464;
16000;19,04401363371822;5,530869078884988;
18000;18,96071595723546;4,5422314807436655;
20000;18,85804835002974;3,9066633888751867;
25000;18,4683699309524;2,695713196953125;
30000;17,646515679853053;1,4509569355313907;
35000;15,802549572156138;0,819574422690091;
40000;13,244682505345548;0,4340561701533826;
45000;10,869090265912424;0,3650867295253476;
50000;8,771411644495974;0,3472760943709606;
55000;6,462191085648135;0,327005861880974;
60000;4,788947772688919;0,3164773859081915;
65000;3,222399797046461;0,29901059013788245;
70000;2,0897202736310585;0,2860738640551057;
75000;0,8115261540518631;0,2765193634907325;
80000;0,345274492193678;0,2698342855442409;
85000;0,21082181634981795;0,25973524246103913;
90000;0,20606175098263355;0,24897767794212128;
95000;0,2019413253221673;0,2446085585696623;
100000;0,19207901309340764;0,23645896431771005;











============================================================================
Função: Beale
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap_p;
meanNFE;100000;100002;
meanFX;1,0840936734991212E-05;3,4657278793367275E-05;
melhorFX;6,724822835536778E-07;2,925831161004805E-07;
piorFX;6,964941037607069E-05;0,00010909136733642;
medianFX;7,396439057678804E-06;2,6124612072609277E-05;
sdFX;1,2777615002271656E-05;2,7784808870229823E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap_p;
5;7890,699750259967;8425,164693143683;
50;2216,726788989399;1924,787886291781;
100;217,3395448957865;1567,4121176780832;
500;1,3637889207069063;0,8958357234357394;
1000;0,5334281197641164;0,4106908193554579;
1500;0,41267277412147285;0,24692361199526675;
2000;0,2795822508674845;0,18874102056205938;
2500;0,24669313138448282;0,11160021864556795;
3000;0,19640095378049732;0,10148522743915322;
3500;0,19248775664588236;0,07200824587912094;
4000;0,1722723998461698;0,04621539321449181;
4500;0,16352144454708034;0,04108387639175774;
5000;0,1372274957185991;0,0029304723244031996;
6000;0,11781350118748772;0,0007780348475997903;
7000;0,09826499625603649;0,0006551219932987299;
8000;0,09678153929409664;0,0005784338909129442;
9000;0,09532767839823277;0,00048621865229364305;
10000;0,0580079674454234;0,0004090025207496025;
12000;0,03849802655855875;0,0002896364982237567;
14000;0,03833865420808687;0,0002204200314243774;
16000;0,019212210156794078;0,00017799808122267964;
18000;0,019206914849185856;0,00015170463841832792;
20000;0,019194224281101513;0,00012491410996920353;
25000;4,337178055179089E-05;9,16161587527726E-05;
30000;3,2255907425468515E-05;8,827595316754479E-05;
35000;2,438907153215054E-05;7,729901605245428E-05;
40000;1,7511466318000692E-05;7,111921210978925E-05;
45000;1,6450466038144934E-05;6,851034708325369E-05;
50000;1,6025840764407967E-05;6,344524468939863E-05;
55000;1,5496703947743455E-05;5,770452217678317E-05;
60000;1,5371595715947985E-05;5,697451452367135E-05;
65000;1,4436083884590558E-05;5,62239536525371E-05;
70000;1,42298858300174E-05;4,5461448471044444E-05;
75000;1,2357666426280172E-05;4,275070506073722E-05;
80000;1,1611214147771713E-05;4,013367320327077E-05;
85000;1,1313351264541236E-05;3,993774766663588E-05;
90000;1,1313351264541236E-05;3,6770229216554905E-05;
95000;1,0976966146310338E-05;3,468207441773974E-05;
100000;1,0840936734991212E-05;3,4657278793367275E-05;



Execution Time: 120714 ms
