




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap;
100;20,887701106459158;20,82541137357644;
500;20,104762851949957;20,17707967196329;
1000;19,536874139428598;19,595116286017543;
1500;19,39199273866261;19,384742809305237;
2000;19,364719538764334;19,289744737999968;
2500;19,339821651033077;19,227986041633308;
3000;19,32749191384957;19,170930733158734;
3500;19,315484534486554;19,12535602745267;
4000;19,305945830673487;19,056775979431745;
4500;19,28284950083681;18,951112584040757;
5000;19,27629841229635;18,825446476812864;
6000;19,246335282206864;18,4703098057653;
7000;19,211983045321826;18,1841833443021;
8000;19,179785756140483;17,80424648805515;
9000;19,155475035215687;17,249423231518733;
10000;19,108793857024782;16,660542808611208;
12000;19,02828879774787;15,484563286681075;
14000;18,9136733228533;13,87470706254338;
16000;18,79433983358294;11,838069518995612;
18000;18,632316928643053;10,139009809675908;
20000;18,396924696830293;8,772574570136175;
25000;17,370177030485188;6,125429111944129;
30000;15,832293965852335;4,39019382561511;
35000;13,94237861062581;2,878519114733066;
40000;11,557026197642402;2,0717084872188543;
45000;9,258948045353545;1,5916767454100031;
50000;7,407721575371224;0,951358894762137;
55000;5,534304910131483;0,4516561632748523;
60000;4,481977842617756;0,33397760247077024;
65000;3,31017896596301;0,3227522835021112;
70000;2,1584853591337945;0,3169349484390386;
75000;1,3033611619289143;0,3073914540346;
80000;0,6261779159424219;0,3062895248123282;
85000;0,38576529281916966;0,3062895248123282;
90000;0,1964070719752744;0,30263260371036554;
95000;0,18830092004351232;0,2983914337762263;
100000;0,18364729112037503;0,29601818841307503;











============================================================================
Função: Beale
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap;
meanNFE;100000;100000;
meanFX;1,2703113271590634E-05;1,0129669863645445;
melhorFX;6,51422613974651E-09;2,454217650394937E-07;
piorFX;4,526786303373897E-05;5,917853011657362;
medianFX;1,1659496541219577E-05;0,08970723698169382;
sdFX;1,157013403070277E-05;1,641120094495579;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap;
5;9971,585265271418;1434,2822314929485;
50;5783,280587043328;256,5250670121038;
100;3106,071281376077;107,44085057520003;
500;1,4897849308891542;1,467582386464551;
1000;0,7941238505940299;1,2708581952657272;
1500;0,5188070437709992;1,2299792160250322;
2000;0,5134329303049876;1,2268185169161117;
2500;0,4952020917301277;1,2110009329117744;
3000;0,4485076277286316;1,208304184301126;
3500;0,41378381973502254;1,1972424570667093;
4000;0,3895323827150929;1,1766359742428683;
4500;0,37495601528904043;1,1592154515137092;
5000;0,3226318944551379;1,1577391592533421;
6000;0,2911610441235767;1,1370314806405746;
7000;0,20153607992783376;1,1342668205031914;
8000;0,1802142165802809;1,1342668205031914;
9000;0,15878228956667778;1,1342668205031914;
10000;0,11611061156291791;1,1342668205031914;
