




============================================================================
Função: Griewangk
============================================================================
P =  8;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:   51031  -->  fx: 1,670707441130290E-03  -->  sd:8,353537205651460E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:   48241  -->  fx: 1,705343737507680E-03  -->  sd:8,526718687538400E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   41670  -->  fx: 1,772478029034930E-03  -->  sd:6,134711889280640E-03
P =  8;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:   53395  -->  fx: 1,968312071362900E-03  -->  sd:7,136806582248820E-03
P =  8;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:   51578  -->  fx: 2,391981619025240E-03  -->  sd:6,739002308778540E-03
P = 16;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:   60490  -->  fx: 2,460569301398140E-03  -->  sd:6,466358485122610E-03
P = 16;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   97867  -->  fx: 2,702752627583080E-03  -->  sd:9,104097230198780E-03
P =  4;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   38689  -->  fx: 2,757976524468500E-03  -->  sd:6,604157540864000E-03
P = 16;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:   93206  -->  fx: 2,765578420947640E-03  -->  sd:6,599835431137640E-03
P =  8;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:   55339  -->  fx: 2,952913314173720E-03  -->  sd:7,810704563836640E-03
P = 16;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:   53916  -->  fx: 3,154425435170510E-03  -->  sd:7,119678988650890E-03
P =  8;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:   73307  -->  fx: 3,295427217828690E-03  -->  sd:6,941065864092760E-03
P =  8;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:   45564  -->  fx: 4,434649964747720E-03  -->  sd:9,823953366226280E-03
P =  8;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:   52119  -->  fx: 5,317923815364800E-03  -->  sd:9,332237294968130E-03
P =  8;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:   61039  -->  fx: 5,787933802890440E-03  -->  sd:2,434271880879410E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:   83884  -->  fx: 6,628558243499900E-03  -->  sd:9,045691015259540E-03
P =  8;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:   61200  -->  fx: 6,725422990569920E-03  -->  sd:1,097786611221280E-02
P =  4;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   58048  -->  fx: 7,085173345321610E-03  -->  sd:1,167118490256070E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:   75361  -->  fx: 7,108281824822130E-03  -->  sd:1,767810689842130E-02
P = 16;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:   64034  -->  fx: 7,379398888476430E-03  -->  sd:1,214933166151000E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:   57446  -->  fx: 7,572782791305880E-03  -->  sd:1,259492719555890E-02
P =  8;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:   59261  -->  fx: 8,474567771752100E-03  -->  sd:1,699631005383040E-02
P =  8;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:   66706  -->  fx: 8,657421927925800E-03  -->  sd:1,350520723813990E-02
P =  8;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:   60904  -->  fx: 9,078412104070350E-03  -->  sd:1,408657714174250E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   75303  -->  fx: 9,151045037033660E-03  -->  sd:1,288528125490710E-02
