




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 7,610947381714320E-02  -->  sd:3,896302788644210E-02
P = 12;   s =  1;   porc =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 8,171722397921190E-02  -->  sd:4,093605277664900E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 8,500705423321620E-02  -->  sd:2,279570825694060E-02
P =  4;   s =  1;   porc =  0,30;   tau =  3,00  -->  NFE:  100036  -->  fx: 8,596966059164280E-02  -->  sd:1,938771485599870E-02
P = 12;   s =  1;   porc =  0,50;   tau =  2,50  -->  NFE:  100016  -->  fx: 9,376777029682570E-02  -->  sd:2,219581074267470E-01
P =  4;   s =  1;   porc =  0,30;   tau =  2,50  -->  NFE:  100036  -->  fx: 1,048612133631460E-01  -->  sd:3,128115733869320E-02
P =  4;   s =  1;   porc =  0,50;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,063613235491070E-01  -->  sd:2,524907795274420E-02
P =  4;   s =  2;   porc =  0,50;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,072818389474400E-01  -->  sd:4,317439057583640E-02
P =  4;   s =  1;   porc =  0,50;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,133882281889120E-01  -->  sd:2,649200954598850E-02
P = 12;   s =  2;   porc =  3,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,151722641717910E-01  -->  sd:6,510120574213920E-02
P =  4;   s =  1;   porc =  0,50;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,251321410886330E-01  -->  sd:3,392915798262290E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 1,285133398633540E-01  -->  sd:3,723946785952340E-02
P = 12;   s =  2;   porc =  5,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,365621794029070E-01  -->  sd:6,816026222471770E-02
P =  4;   s =  2;   porc =  0,30;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,433737476285970E-01  -->  sd:5,780620895668380E-02
P = 12;   s =  1;   porc =  0,50;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,451808391588840E-01  -->  sd:3,484674599435920E-01
P =  4;   s =  1;   porc =  0,50;   tau =  3,50  -->  NFE:  100036  -->  fx: 1,476355604452260E-01  -->  sd:3,086872334103530E-02
P = 12;   s =  1;   porc =  3,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,518864048458070E-01  -->  sd:5,687890682327340E-02
P =  4;   s =  1;   porc =  0,30;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,555817633103520E-01  -->  sd:4,267186693746400E-02
P =  4;   s =  1;   porc =  0,50;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,672993915470770E-01  -->  sd:4,160950234703460E-02
P =  4;   s =  2;   porc =  3,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,880665651908340E-01  -->  sd:5,858916420362290E-02
P =  4;   s =  2;   porc =  3,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,915787274651120E-01  -->  sd:3,897707243089090E-02
P = 12;   s =  1;   porc =  5,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,994825524279000E-01  -->  sd:9,710169841723220E-02
P =  4;   s =  1;   porc =  0,50;   tau =  2,50  -->  NFE:  100036  -->  fx: 2,122916273512930E-01  -->  sd:5,322796011808120E-02
P =  4;   s =  2;   porc =  3,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 2,366604478635000E-01  -->  sd:6,300199959830230E-02
P =  4;   s =  2;   porc =  0,50;   tau =  1,50  -->  NFE:  100036  -->  fx: 2,403310546387170E-01  -->  sd:6,470175203322500E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 2,434203577050970E-01  -->  sd:6,466277930342120E-02
P =  4;   s =  1;   porc =  0,50;   tau =  2,00  -->  NFE:  100036  -->  fx: 2,623210598353440E-01  -->  sd:6,596240625513940E-02
P =  4;   s =  2;   porc =  3,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 2,647273192633910E-01  -->  sd:6,380809989915670E-02
P = 12;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 2,651656131149120E-01  -->  sd:1,391130011575970E-01
P = 12;   s =  2;   porc =  0,50;   tau =  2,00  -->  NFE:  100016  -->  fx: 2,684048809497040E-01  -->  sd:3,545374998043680E-01
P =  4;   s =  1;   porc =  0,30;   tau =  1,50  -->  NFE:  100036  -->  fx: 2,716092869685920E-01  -->  sd:8,284388151858320E-02
P =  4;   s =  1;   porc =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 2,904439456965880E-01  -->  sd:5,959061627735610E-02
P = 12;   s =  1;   porc =  0,50;   tau =  3,50  -->  NFE:  100016  -->  fx: 2,910641358525720E-01  -->  sd:3,994856377652260E-01
P =  4;   s =  1;   porc =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 2,951847717767790E-01  -->  sd:6,146293103294170E-02
P =  4;   s =  2;   porc =  3,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 3,140718791938320E-01  -->  sd:7,284325358617360E-02
P =  4;   s =  1;   porc =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 3,263618977247780E-01  -->  sd:7,895207588785420E-02
P =  4;   s =  2;   porc =  5,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 3,282404524061420E-01  -->  sd:6,614591703621910E-02
P = 12;   s =  2;   porc =  0,50;   tau =  1,50  -->  NFE:  100016  -->  fx: 3,407444725217280E-01  -->  sd:2,745193609484980E-01
P =  4;   s =  1;   porc =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 3,423366863424670E-01  -->  sd:5,508834454963780E-02
P = 12;   s =  1;   porc =  1,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 3,439105349978530E-01  -->  sd:1,156803670181840E-01
P =  4;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 3,653537785762260E-01  -->  sd:1,051800883067480E-01
P =  4;   s =  1;   porc =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 3,656315599124030E-01  -->  sd:7,020125085531160E-02
P = 12;   s =  1;   porc =  0,50;   tau =  4,50  -->  NFE:  100016  -->  fx: 3,671522172980280E-01  -->  sd:5,227730982341820E-01
P =  4;   s =  2;   porc =  0,30;   tau =  4,50  -->  NFE:  100036  -->  fx: 3,740815030898460E-01  -->  sd:8,615383553697200E-01
P = 12;   s =  1;   porc = 10,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 3,818712348146930E-01  -->  sd:1,293871820955000E-01
P =  4;   s =  1;   porc =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,832930656082050E-01  -->  sd:9,433096569262490E-02
P =  4;   s =  2;   porc =  5,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 3,842628567020780E-01  -->  sd:7,757774806810680E-02
P =  4;   s =  1;   porc =  0,50;   tau =  1,50  -->  NFE:  100036  -->  fx: 3,874760030469350E-01  -->  sd:7,599738428988320E-02
P =  4;   s =  2;   porc =  0,30;   tau =  1,00  -->  NFE:  100036  -->  fx: 4,025318328077730E-01  -->  sd:1,160441334758690E-01
P =  4;   s =  2;   porc =  5,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 4,040490491705190E-01  -->  sd:9,371002200186540E-02
P =  4;   s =  2;   porc =  5,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 4,207777473903930E-01  -->  sd:8,177747277883040E-02
P =  4;   s =  2;   porc =  3,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 4,222837450774090E-01  -->  sd:8,558538082545890E-02
P =  4;   s =  1;   porc =  0,30;   tau =  1,00  -->  NFE:  100036  -->  fx: 4,443582720384000E-01  -->  sd:9,767923673934720E-02
