




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
2500;0,09663819433231804;24,44504206164867;0,2376294282792791;0,13874428000753575;58,465689867319426;0,20481751798405287;
3000;0,08547442085792693;10,32904103305627;0,14705210978727384;0,12377654489945092;36,26140438704737;0,18676204428554286;
3500;0,07287127361834149;4,3129504427610375;0,04853073916375174;0,10990976600865007;21,384738026394416;0,0700096374523757;
4000;0,06503983172398406;2,0148725469474407;0,0337141055014855;0,09883155115514212;11,965382486181328;0,06027177256858558;
4500;0,05896995921486017;1,1472794374713426;0,028541126014115265;0,09065662772770776;6,7295159133396165;0,05110866922736289;
5000;0,05176742615430404;0,6444340816288957;0,024063623096375976;0,08460904736428818;4,039031674975671;0,04576461207970132;
6000;0,040778365367703316;0,3484235133141974;0,021037665862030437;0,07198402519428945;1,7784637426164274;0,03882275924694432;
7000;0,0350371390305471;0,18785828371271918;0,0186846547219118;0,06362030040762762;0,6686664571836366;0,03168294152303067;
8000;0,027630806132362712;0,100822004294657;0,009849760049283467;0,05662355958568079;0,33874213307788614;0,025059750354040122;
9000;0,02274729236901314;0,0588290951574922;0,008450920961416157;0,05109297848123623;0,20548013493575037;0,02078553878765777;
10000;0,020934753113312683;0,04026098013224425;0,007390597680432305;0,04605634388084502;0,12110230225454284;0,016078757780695854;
12000;0,016418319880166222;0,02162401375210037;0,005371548968769169;0,037727600763486954;0,048416952349893336;0,009120562759324205;
14000;0,014205417038740186;0,01310531278559191;0,004739606472666379;0,032566119231277016;0,025625100858769585;0,007525115116583761;
16000;0,012967751980199445;0,008075993260754486;0,003546942341032408;0,028661629910874814;0,014877154056935949;0,006782631562076001;
18000;0,011715411783704223;0,005352621736944609;0,0014788359281095271;0,025512425637016074;0,00944033111739269;0,005726116725351497;
20000;0,009509838624287361;0,003377939433621048;0,0014372640863871706;0,02168389040457918;0,005886644919860304;0,004171303579718953;
25000;0,006663686598288076;0,0012996550733748973;0,0003224583681676079;0,015380618640094912;0,0023768084032912587;0,0028527516407091838;
30000;0,0035858708278676036;0,0005794527397418604;0,0001005178386757999;0,011242858373179166;0,000913315178624595;0,0023544135701012445;
