




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
medianFX;0,011582884688440487;0,18267104874048812;2,6174900282029263;
sdFX;0,7225401806702554;0,02854593867147006;0,18394938572470204;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
5;20,960443937882925;20,93945026468999;20,938512145896443;
50;20,92884202619947;20,884438810937546;20,867390021017005;
100;20,91246672120724;20,825872781524513;20,814228656218244;
500;20,570974347232756;20,0134386360539;19,811739921034352;
1000;19,719742663362446;19,486676273435013;17,717364937030478;
1500;18,339563915839708;19,37920275162243;14,266203771459482;
2000;16,50570968867605;19,337634776641515;9,563566777767841;
2500;13,953308698243257;19,309293375692132;6,3614230173616555;
3000;10,616830969482402;19,298440925988;4,841639545484564;
3500;7,743845224143885;19,282848942592732;4,262490371496739;
4000;5,138938529201008;19,267313253720097;3,905336012075113;
4500;3,573722200606349;19,25714212537217;3,6767634738351864;
5000;2,642141969538593;19,24179517053211;3,586274501726288;
6000;1,7576832243809513;19,20927183816606;3,449494086138671;
7000;1,6275036936328262;19,18101336562084;3,32580218216395;
8000;1,5906861744408993;19,152794730166192;3,2596955103938994;
9000;1,5741258945450096;19,12511214438012;3,213446589416654;
10000;1,5726188409292778;19,08399170694836;3,146357511278307;
12000;1,5661796780795882;19,01593277600031;3,0512824462302244;
14000;1,4799145953485298;18,902790906203794;3,0003581392108782;
16000;1,423889820037711;18,76565964675915;2,9495161945012303;
18000;1,3445978420665898;18,631718775445602;2,9142484663811854;
20000;1,3403455747763204;18,402021641328865;2,9079459312361733;
25000;1,312145322250484;17,339659916446376;2,8701056228675665;
30000;1,217588681617825;16,068705942676715;2,830367351526472;
35000;1,2093329429749136;14,351005611893939;2,8056101381122702;
40000;1,1530720627247795;12,212953774020578;2,7883770775293253;
45000;1,1325710472329917;9,219529965865213;2,7712302524229995;
50000;1,0597844182639986;6,967874376042062;2,7471980130703995;
55000;0,9503134020636754;4,6653610377052415;2,7142742342000417;
60000;0,8569481100834515;2,814105575085011;2,699171266346645;
65000;0,7693263235958997;1,700951177289932;2,6799519442419246;
70000;0,7359248561958827;0,8079614820502293;2,6596416039249346;
75000;0,7273739956063723;0,2454761653313038;2,649184576892462;
80000;0,7273304235826203;0,19980092648923878;2,6385051690608994;
85000;0,7133478620413556;0,196675224544195;2,6358703665712415;
90000;0,7059490993256536;0,19303407475521778;2,6126255838649124;
95000;0,622727583960177;0,18817878207740746;2,6126255838649124;
100000;0,5895941337671472;0,1871165233483283;2,604932492706284;











============================================================================
Função: Beale
============================================================================
parameter;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
meanNFE;100022;100000;100000;
meanFX;0,0001615620228489245;1,0770936461513793E-05;0,005775729166001102;
FXatual;0,0001615620228489245;1,0770936461513793E-05;0,005775729166001102;
medianFX;4,91676163031727E-05;1,0302656304990794E-05;0,004844272793744434;
sdFX;0,00026925161771423564;9,267302591563295E-06;0,005174135965377808;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
5;629,4561342968022;7408,988466024549;1467,6033495194579;
50;5,636634484150156;2778,2573671805294;323,23159931816457;
100;2,839835270171328;1503,0605968087484;65,84946338349013;
500;1,0628743331009747;2,31414012343222;5,957615416881751;
1000;0,7788780115958076;1,1625222166246694;1,3117948251729978;
1500;0,5942780819352154;0,6108432544747372;0,8775623015460919;
2000;0,3873840643909765;0,5612131829147586;0,7257481462206051;
2500;0,3529559315516253;0,5362383627026728;0,49265680711355647;
3000;0,3370749003823173;0,28260614339240087;0,38333296626014024;
3500;0,3362116973495973;0,24257043631528666;0,3643492634757453;
4000;0,30856444948406014;0,24225017994863768;0,34713976037552385;
4500;0,2809849854352269;0,21433843638592065;0,3019285753353095;
5000;0,2509301534485068;0,2040540232383259;0,2650149132123765;
6000;0,22382747950375492;0,1813094218987993;0,16449079626151833;
7000;0,17154567354889805;0,1762048565837991;0,13324568167159884;
8000;0,12052943585247824;0,1407099498189501;0,11706172498607655;
9000;0,11781817298848576;0,09615520577379236;0,0960282584565831;
10000;0,07513483006837604;0,05786332549875682;0,08925831267799848;
12000;0,052605879856986705;0,038607871478497965;0,06469151562334094;
14000;0,04730806990428261;0,004839302192089468;0,04863411290662816;
