




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
3500;0,018840837526250064;0,8178137435506249;0,6208829412866662;1,0487968493447921;
4000;0,012482177693125032;0,8178137435506249;0,6180699100366662;1,0487968493447921;
4500;0,012262716096250027;0,8178137435506249;0,6180686411868747;1,0487968493447921;
5000;0,011891212132708363;0,8178137435506249;0,6180664064899996;1,0487968493447921;
6000;0,01071470102625004;0,8178137435506249;0,6180115693702078;1,0487968493447921;
7000;0,010251463246250044;0,8178137435506249;0,6176691052535411;1,0487968493447921;
8000;0,0058316145035416656;0,8178137435506249;0,6155794348970828;1,0487968493447921;
9000;0,004445952423124965;0,8178137435506249;0,6147413167304162;1,0487968493447921;
10000;0,0032289876733333314;0,8178137435506249;0,6147413167304162;1,0487968493447921;
12000;0,0019182096566666487;0,8178137435506249;0,6147413167304162;1,0487968493447921;
14000;0,001575525973125007;0,8178137435506249;0,6147413167304162;1,0487968493447921;
16000;0,0015742894231250096;0,8178137435506249;0,6147413167304162;1,0487968493447921;
18000;0,0013838323764583443;0,8178137435506249;0,6147413167304162;1,0487968493447921;
20000;0,0011980010566666967;0,8178137435506249;0,6147413167304162;1,0487968493447921;
25000;0,0009378937100000762;0,8178137435506249;0,6147413167304162;1,0487968493447921;
30000;0,0008278094660417311;0,8178137435506249;0,6147413167304162;1,0487968493447921;
35000;0,0006446462631250378;0,8178137435506249;0,6147413167304162;1,0487968493447921;
40000;0,0006318278900000367;0,8178137435506249;0,6147413167304162;1,0487968493447921;
45000;0,0005421227366666763;0,8178137435506249;0,6147413167304162;1,0487968493447921;
50000;0,0004999228399999981;0,8178137435506249;0,6147413167304162;1,0487968493447921;
55000;0,000431516196458309;0,8178137435506249;0,6147413167304162;1,0487968493447921;
60000;0,000431516196458309;0,8178137435506249;0,6147413167304162;1,0487968493447921;
65000;0,0004251531995833098;0,8178137435506249;0,6147413167304162;1,0487968493447921;
70000;0,0003571203725000045;0,8178137435506249;0,6147413167304162;1,0487968493447921;
75000;0,0003508399225000039;0,8178137435506249;0,6147413167304162;1,0487968493447921;
80000;0,00024251520250000248;0,8178137435506249;0,6147413167304162;1,0487968493447921;
85000;0,0002262135991666733;0,8178137435506249;0,6147413167304162;1,0487968493447921;
90000;0,0002262135991666733;0,8178137435506249;0,6147413167304162;1,0487968493447921;
95000;0,00021279230229166775;0,8178137435506249;0,6147413167304162;1,0487968493447921;
100000;0,00020485519604167396;0,8178137435506249;0,6147413167304162;1,0487968493447921;











============================================================================
Função: Schwefel
============================================================================
parameter;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
meanNFE;100000;100000;100000;100000;
meanFX;831,2232104363284;914,6363055077674;946,3683766779118;938,9412239797856;
FXatual;831,2232104363284;914,6363055077674;946,3683766779118;938,9412239797856;
medianFX;870,2037823561386;897,2175082788494;966,4750026876395;982,4262967874715;
sdFX;200,85944238719196;275,34878194107023;346,3017638179677;251,51738769793675;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
5;4049,0846904411287;4049,0846904411287;4049,0846904411287;4049,0846904411287;
50;3876,6488449766416;3876,6488449766416;3876,6488449766416;3876,6488449766416;
100;3716,0241824426785;3716,0241824426785;3716,0241824426785;3716,0241824426785;
500;2246,1409891769667;2313,3651226995657;3012,5618976805567;1766,985667327954;
1000;1465,3919122163093;1264,1554684859664;2373,919678398498;982,6593836044146;
1500;1286,179385230133;962,2072314459526;2024,203867407671;939,3036355793265;
2000;1245,7806143841362;915,4656008009758;1862,8682537995492;938,9591696885186;
2500;1223,391751201418;914,6683714390405;1709,9846035431874;938,9453197782623;
3000;1170,4849381529539;914,638300565059;1644,993518346669;938,9412239797856;
3500;1162,1129318387173;914,6364953428983;1512,2889564462737;938,9412239797856;
4000;1157,0353811693974;914,6363055077674;1437,2865153544183;938,9412239797856;
4500;1134,9225947162283;914,6363055077674;1426,2823425983695;938,9412239797856;
5000;1131,494431333219;914,6363055077674;1406,9366413873138;938,9412239797856;
6000;1093,8285662035933;914,6363055077674;1406,9089266459632;938,9412239797856;
7000;1093,6118480431533;914,6363055077674;1316,4773929990158;938,9412239797856;
8000;1078,7579215575497;914,6363055077674;1262,9885842343213;938,9412239797856;
9000;1034,755833262234;914,6363055077674;1209,9290331092789;938,9412239797856;
10000;1025,5278188137686;914,6363055077674;1173,3444497011697;938,9412239797856;
12000;1005,1375036147184;914,6363055077674;1161,2636063971484;938,9412239797856;
14000;1001,6282957069817;914,6363055077674;1107,7742696718776;938,9412239797856;
16000;995,8226500121248;914,6363055077674;1093,5387239715335;938,9412239797856;
18000;983,3056958082408;914,6363055077674;1082,8211437867924;938,9412239797856;
20000;973,9787493122282;914,6363055077674;1078,7125363140399;938,9412239797856;
25000;970,1295195249099;914,6363055077674;1037,6724513910242;938,9412239797856;
30000;962,8360770960844;914,6363055077674;1008,9759197137711;938,9412239797856;
35000;947,068537483037;914,6363055077674;1001,9902926684215;938,9412239797856;
40000;916,7129881589557;914,6363055077674;996,7532417163708;938,9412239797856;
45000;905,6597693217889;914,6363055077674;996,7532417163708;938,9412239797856;
50000;891,4360557005643;914,6363055077674;996,7532367069397;938,9412239797856;
55000;889,7936044469876;914,6363055077674;992,8052907747176;938,9412239797856;
60000;879,2601846668196;914,6363055077674;982,0559267075988;938,9412239797856;
65000;858,5215825846655;914,6363055077674;971,5199575566375;938,9412239797856;
70000;845,5984640513227;914,6363055077674;971,5199575566375;938,9412239797856;
75000;839,3034831511793;914,6363055077674;971,5199575566375;938,9412239797856;
80000;833,1149274566783;914,6363055077674;971,5157537544297;938,9412239797856;
85000;833,1149274566783;914,6363055077674;958,5453167974251;938,9412239797856;
90000;833,1149274566783;914,6363055077674;958,5453167974251;938,9412239797856;
95000;833,1149274566783;914,6363055077674;949,4941071173464;938,9412239797856;
100000;831,2232104363284;914,6363055077674;946,3818275295349;938,9412239797856;











============================================================================
Função: Ackley
============================================================================
parameter;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
meanNFE;100320;100320;100320;100320;
meanFX;4,41558947848771;1,528555464783623;3,705769170552282;1,1352975083667791;
FXatual;4,41558947848771;1,528555464783623;3,705769170552282;1,1352975083667791;
medianFX;1,778423380815962;1,6463386100598179;1,6468224667742142;1,5018077788572874;
sdFX;5,455335452846015;0,4601864386847906;6,1288602154491345;0,7716541326495312;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
5;21,0216914251376;21,0216914251376;21,0216914251376;21,0216914251376;
50;20,9761764095674;20,9761764095674;20,9761764095674;20,9761764095674;
100;20,970001587619613;20,970001587619613;20,970001587619613;20,970001587619613;
500;20,37863221429061;20,575418181459394;20,85866747086312;19,876850275961246;
1000;19,394481318007234;19,63362310988953;20,42907932802205;17,7016490802081;
1500;17,868058192219532;18,063785394224666;19,570423442936463;15,717108533371086;
2000;16,226466890528577;15,7474672815282;18,316336397504365;12,707480164569466;
2500;13,95881706908899;12,819661892636423;16,570696603551156;9,2489738696392;
3000;11,653661736926683;9,414612046070074;14,713246348474252;5,3681085780502515;
3500;9,247177519154317;6,3750569838864966;13,125985646544423;2,9602727547289183;
4000;7,159297728284959;3,7835239194341597;11,210965764809556;1,7400447473315377;
4500;5,8795297686936845;2,4847730623717683;9,654485559603634;1,4992038536838037;
5000;5,305667342335028;1,8912303102830041;8,287101289959448;1,3318030457130816;
6000;5,087857709219408;1,5968293410901488;7,146234549051007;1,1730692056227157;
7000;4,942207247478768;1,540191959836831;6,699308656444926;1,137989877665079;
8000;4,687794926865407;1,529110365719787;6,3220688148122735;1,1354919048645935;
9000;4,493314188598905;1,5285955760752898;5,979314697714861;1,135306445530063;
10000;4,453947447841785;1,5285890644911968;5,882807588226928;1,135306154031565;
12000;4,45265963090615;1,5285559425349533;5,5417255364183715;1,1353057166174498;
14000;4,45265963090615;1,528555464783623;5,4673509208471565;1,1352975083667791;
16000;4,45265963090615;1,528555464783623;5,34320562610941;1,1352975083667791;
18000;4,45265963090615;1,528555464783623;5,291401348696861;1,1352975083667791;
20000;4,45265963090615;1,528555464783623;5,255582243666525;1,1352975083667791;
25000;4,45265963090615;1,528555464783623;5,187073818182699;1,1352975083667791;
30000;4,441105972507772;1,528555464783623;5,076142575922954;1,1352975083667791;
35000;4,441105972507772;1,528555464783623;4,617858343974826;1,1352975083667791;
40000;4,441105972507772;1,528555464783623;4,613708546734657;1,1352975083667791;
45000;4,441105972507772;1,528555464783623;4,557399601838115;1,1352975083667791;
50000;4,42476469982347;1,528555464783623;4,557342983271467;1,1352975083667791;
55000;4,42476469982347;1,528555464783623;4,412232442024818;1,1352975083667791;
60000;4,42476469982347;1,528555464783623;4,003022406135726;1,1352975083667791;
65000;4,42476469982347;1,528555464783623;3,733405725737315;1,1352975083667791;
70000;4,42476469982347;1,528555464783623;3,7334022389331114;1,1352975083667791;
75000;4,42476469982347;1,528555464783623;3,733402085267731;1,1352975083667791;
80000;4,42476469982347;1,528555464783623;3,73339798270877;1,1352975083667791;
85000;4,42476469982347;1,528555464783623;3,7333964154416512;1,1352975083667791;
90000;4,42476469982347;1,528555464783623;3,733394170620022;1,1352975083667791;
95000;4,42476469982347;1,528555464783623;3,705769170552282;1,1352975083667791;
100000;4,41558947848771;1,528555464783623;3,705769170552282;1,1352975083667791;











============================================================================
Função: Beale
============================================================================
parameter;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
meanNFE;100022;100022;100022;100022;
meanFX;0,022847217805120716;0,7444489272181747;0,6890058862258335;1,391133269427953;
FXatual;0,022847217805120716;0,7444489272181747;0,6890058862258335;1,391133269427953;
medianFX;0,00018646651367325949;0,6591716311329252;0,6591716311329252;0,6591716311329252;
sdFX;0,12021740814792749;1,2033242048208659;0,9784774567009328;2,134395094697203;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
5;489,24052754305774;489,24052754305774;489,24052754305774;489,24052754305774;
50;7,618131269858568;4,463295753775456;6,4702832255418095;6,0263144371433395;
100;3,2708767164684778;1,9204518500559862;2,235368468220687;2,52165603188409;
500;0,9933757918497735;0,7477859359185774;0,8306840494594986;1,490867081941059;
1000;0,3614587820701719;0,7476011762924238;0,6972875121881069;1,490611500037791;
1500;0,22761671660037056;0,7444489272181747;0,6944834511565643;1,391133269427953;
2000;0,1830895582186117;0,7444489272181747;0,6926706050990268;1,391133269427953;
2500;0,10889592239707309;0,7444489272181747;0,6890058862258335;1,391133269427953;
3000;0,09310421784154545;0,7444489272181747;0,6890058862258335;1,391133269427953;
3500;0,05797860164329586;0,7444489272181747;0,6890058862258335;1,391133269427953;
4000;0,05381502144247406;0,7444489272181747;0,6890058862258335;1,391133269427953;
4500;0,05139909589581139;0,7444489272181747;0,6890058862258335;1,391133269427953;
5000;0,04193156911359687;0,7444489272181747;0,6890058862258335;1,391133269427953;
6000;0,039108921942304434;0,7444489272181747;0,6890058862258335;1,391133269427953;
7000;0,03754214401103611;0,7444489272181747;0,6890058862258335;1,391133269427953;
8000;0,03618842135212919;0,7444489272181747;0,6890058862258335;1,391133269427953;
9000;0,035800436206001915;0,7444489272181747;0,6890058862258335;1,391133269427953;
10000;0,03560350468695381;0,7444489272181747;0,6890058862258335;1,391133269427953;
12000;0,030099584992578695;0,7444489272181747;0,6890058862258335;1,391133269427953;
14000;0,02860764703654784;0,7444489272181747;0,6890058862258335;1,391133269427953;
16000;0,02665125207114728;0,7444489272181747;0,6890058862258335;1,391133269427953;
18000;0,026177277540698915;0,7444489272181747;0,6890058862258335;1,391133269427953;
20000;0,025922752514245768;0,7444489272181747;0,6890058862258335;1,391133269427953;
25000;0,024782307790974994;0,7444489272181747;0,6890058862258335;1,391133269427953;
30000;0,024363928733578684;0,7444489272181747;0,6890058862258335;1,391133269427953;
35000;0,023957369432475464;0,7444489272181747;0,6890058862258335;1,391133269427953;
40000;0,02386980126169879;0,7444489272181747;0,6890058862258335;1,391133269427953;
45000;0,023560139311389214;0,7444489272181747;0,6890058862258335;1,391133269427953;
50000;0,02345150782656993;0,7444489272181747;0,6890058862258335;1,391133269427953;
55000;0,023432483973419238;0,7444489272181747;0,6890058862258335;1,391133269427953;
60000;0,02340564920913389;0,7444489272181747;0,6890058862258335;1,391133269427953;
65000;0,0233767985202105;0,7444489272181747;0,6890058862258335;1,391133269427953;
70000;0,023326588664367213;0,7444489272181747;0,6890058862258335;1,391133269427953;
75000;0,023102809664129993;0,7444489272181747;0,6890058862258335;1,391133269427953;
80000;0,02299456966866657;0,7444489272181747;0,6890058862258335;1,391133269427953;
85000;0,022948777291009925;0,7444489272181747;0,6890058862258335;1,391133269427953;
90000;0,02288938219053795;0,7444489272181747;0,6890058862258335;1,391133269427953;
95000;0,022876519714632212;0,7444489272181747;0,6890058862258335;1,391133269427953;
100000;0,022847217805120716;0,7444489272181747;0,6890058862258335;1,391133269427953;



Execution Time: 796599 ms
