




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
6000;0,08769524945912513;0,012223112907125052;0,0019405884282280444;0,1129241966038;
7000;0,04729801091562505;0,008778199217125048;0,001656873427074394;0,10335722212410302;
8000;0,04203544742562506;0,0074753566131250445;0,0015087933485647298;0,09490627505884135;
9000;0,010681652937125021;0,0071560137868750305;0,0014121150325187405;0,08743617454380528;
10000;0,009385726512750017;0,006535154346750037;0,001127387149646015;0,0809647332328804;
12000;0,004679026387125006;0,0023628934249999927;0,000899762000001283;0,07106366742427926;
14000;0,0043451558367500025;0,002114562638999994;0,0007671742351676243;0,06366376631052777;
16000;0,004056274408750002;0,0012636392088750123;0,000658141539680809;0,057348891568063935;
18000;0,003268331826875004;0,0007779680027500116;0,0005816645960588792;0,05227868825724625;
20000;0,001892551539249986;0,0007611161390000129;0,00046572525987709316;0,04771522617909575;
25000;0,0008281496592499868;0,0006693043632500031;0,000360822385219888;0,039082998366527476;
30000;0,0002404506066250069;0,0003192255988750062;0,0003091934365304134;0,032622225607573635;
35000;0,00016294686475000825;0,0002925548031250066;0,00026007720424727913;0,027519347815183056;
40000;0,0001198252267500085;0,00018204004712500085;0,0002314702984134072;0,023364565962037075;
45000;0,00010430154062500851;0,00015284067550000436;0,00018312725109127694;0,019908618355003408;
50000;9,171937675000861E-05;8,514288325000295E-05;0,00017575218993984878;0,017103756275775376;
55000;8,839186287500725E-05;7,72086932500018E-05;0,00015835647707423053;0,014779879144462502;
60000;6,389847475000766E-05;7,523186125000152E-05;0,00013413252366370015;0,012645358052975562;
65000;5,7952256500007313E-05;6,0169679375004366E-05;0,00012333962972266234;0,01089209415590351;
70000;5,199115662500589E-05;5,756138112500451E-05;0,00012167058342702135;0,009414615276864649;
75000;5,034008850000481E-05;5,3931941125004306E-05;0,00010987362463680803;0,008178331964982109;
80000;4,5124916750003876E-05;5,2748135000005156E-05;0,0001055631022159528;0,00710980629411792;
85000;4,4169476625004E-05;5,1426127000005034E-05;0,00010381128148339813;0,006155489984949014;
90000;3,727332675000434E-05;4,9003923000003344E-05;0,00010000861566117304;0,005382240031029603;
95000;3,630513050000461E-05;4,5804922875003926E-05;9,498774503603672E-05;0,004663459389934938;
100000;3,247645850000483E-05;4,005893525000284E-05;8,276558464674586E-05;0,00405795249994904;











============================================================================
Função: schwefel
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100000;100000;100001;100089;
meanFX;457,5120907257467;286,2754805463826;769,0519605639103;23,69061704491207;
melhorFX;27,434134279549653;34,44648679788588;357,38810628827196;0,00012727566354442388;
piorFX;862,8983318125684;524,2422500485882;1237,3420746682186;118,43846189010583;
medianFX;401,9289358086453;284,15385283449496;752,4839957059962;0,00012727566718240269;
