







=======================================================
Tuning: 0
=======================================================





============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,282587114021460E-01  -->  sd:7,794367730893080E-02
P =  4;   s =  1;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,283819327546180E-01  -->  sd:9,490128211992420E-02
P =  4;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,344219613890930E-01  -->  sd:9,956835837614180E-02
P = 12;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 5,430075216506510E-01  -->  sd:2,121157768731940E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,751637135559500E-01  -->  sd:7,835342258946980E-02
P =  4;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,060647378029990E-01  -->  sd:1,061465639221810E-01
P = 12;   s =  1;   porc = 50,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 6,430822299354240E-01  -->  sd:1,793162442651710E-01
P =  4;   s =  1;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 6,794283163138130E-01  -->  sd:9,149141984359370E-02
P =  4;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,935522448416840E-01  -->  sd:1,252811628984250E-01
P =  4;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 7,755698596550080E-01  -->  sd:1,116281504840610E+00
P = 12;   s =  1;   porc =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 8,039452466682790E-01  -->  sd:1,440832960227250E-01
P = 12;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 8,207247483564850E-01  -->  sd:1,577969109268380E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,893504680231930E-01  -->  sd:1,264006626369920E-01
P =  4;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 8,988814270328530E-01  -->  sd:9,757205095839520E-02
P =  4;   s =  1;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 8,988854458536210E-01  -->  sd:1,117325851756970E-01
P = 12;   s =  1;   porc = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 9,066311812273820E-01  -->  sd:1,479964170302140E-01
P =  4;   s =  1;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 9,225456778062260E-01  -->  sd:7,320487570912800E-02
P =  4;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,560376123468570E-01  -->  sd:9,083346444600720E-02
P =  4;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 9,662196714266910E-01  -->  sd:8,019858785614120E-02
P = 12;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 9,693654733058150E-01  -->  sd:2,953518830354160E-01
P =  4;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 9,702224941089380E-01  -->  sd:9,957163627443320E-02
P =  4;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 9,915778151750300E-01  -->  sd:1,163913862574180E-01
P =  4;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 9,972437304743530E-01  -->  sd:6,781281121151940E-02
P =  4;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,015801970737980E+00  -->  sd:6,512867272812340E-02
P =  4;   s =  1;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,018270094301630E+00  -->  sd:1,095787393917190E-01
P =  4;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,049249547580710E+00  -->  sd:1,178498724574610E-01
P =  4;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,058922324174500E+00  -->  sd:9,505314423303130E-02
P =  4;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,091025373698180E+00  -->  sd:7,817673914514030E-02
P =  4;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,153370306976780E+00  -->  sd:6,957085162005060E-02
P =  4;   s =  1;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,154791297379690E+00  -->  sd:7,768279193338930E-02
P =  4;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,245197033884410E+00  -->  sd:1,061039106374350E+00
P =  4;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,261937941991230E+00  -->  sd:6,076734087477210E-02
P =  4;   s =  1;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,412102047971870E+00  -->  sd:1,378994540140170E-01
P = 12;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,481762688534960E+00  -->  sd:3,540311839859580E-01
P =  4;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,550287253936200E+00  -->  sd:1,923707255252410E-01
P =  4;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,731120271892600E+00  -->  sd:2,754640030473150E-01
P = 12;   s =  1;   porc = 50,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,876095941034070E+00  -->  sd:5,438840957636620E-01
P =  4;   s =  1;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,274172309439410E+00  -->  sd:3,611360775852780E-01
P =  4;   s =  1;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,279234914527720E+00  -->  sd:3,711732319983510E-01
P =  4;   s =  1;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,291429526836860E+00  -->  sd:3,768608200521470E-01
P = 12;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,308622684797420E+00  -->  sd:5,392594630683280E-01
P =  4;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,330499202270700E+00  -->  sd:2,078616052427800E+00
P = 12;   s =  1;   porc = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,443789838248680E+00  -->  sd:9,533964126253810E-01
P =  4;   s =  1;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,469997970947370E+00  -->  sd:2,374374405544860E+00
P =  4;   s =  1;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,516480516952030E+00  -->  sd:4,281276337941360E-01
P =  4;   s =  1;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,643901652220540E+00  -->  sd:5,191373118554640E-01
P =  4;   s =  1;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,042638896031640E+00  -->  sd:5,521772390791070E-01
P =  4;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,687220273407770E+00  -->  sd:1,038674134404820E+00
P =  4;   s =  1;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,822868763154540E+00  -->  sd:9,339813307870570E-01
P =  4;   s =  1;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,212145735009800E+00  -->  sd:1,057976017340020E+00
P =  4;   s =  1;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,327188227515480E+00  -->  sd:3,766397031571500E+00
P =  4;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,670146105936170E+00  -->  sd:4,666092273523050E+00
P =  4;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 7,435297427924500E+00  -->  sd:2,636197491707850E+00
P =  4;   s =  1;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,541851191824580E+00  -->  sd:3,889550535406190E+00
P =  4;   s =  1;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,075512387681430E+01  -->  sd:5,695073466165160E+00
P =  4;   s =  1;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,091634313849290E+01  -->  sd:2,952261584953350E+00
P =  4;   s =  1;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,131234822815960E+01  -->  sd:6,420783019121710E+00
P =  4;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,470100990700540E+01  -->  sd:7,313779876390910E+00
P =  4;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,601652598172530E+01  -->  sd:6,537577658712370E+00
P =  4;   s =  1;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,106585247795540E+01  -->  sd:8,930701570510290E+00
P =  4;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,227176116272570E+01  -->  sd:9,590268452895970E+00
P =  4;   s =  1;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,507000646209820E+01  -->  sd:8,952458926379600E+00
P = 12;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,629593314601670E+01  -->  sd:1,542484613667720E+01
P =  4;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,789262744341070E+01  -->  sd:8,847606177596780E+00
P = 12;   s =  1;   porc = 50,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 3,210583039354770E+01  -->  sd:1,541750725014720E+01
P = 12;   s =  1;   porc =  0,10;   tau =  1,50  -->  NFE:  100068  -->  fx: 3,272520907651390E+01  -->  sd:7,028432307587190E+00
P =  4;   s =  1;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 3,288138809182960E+01  -->  sd:9,918858528221940E+00
P = 12;   s =  1;   porc =  0,10;   tau =  2,00  -->  NFE:  100068  -->  fx: 3,582975811984700E+01  -->  sd:1,123175246706470E+01
P =  4;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,776797636867030E+01  -->  sd:1,270503396298600E+01
P =  4;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 4,449746404093120E+01  -->  sd:1,596297204309020E+01
P = 12;   s =  1;   porc =  0,10;   tau =  2,50  -->  NFE:  100068  -->  fx: 4,680680669573350E+01  -->  sd:1,327553876141220E+01
P =  4;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,704103572270830E+01  -->  sd:1,558857827251480E+01
P = 12;   s =  1;   porc =  0,10;   tau =  3,00  -->  NFE:  100068  -->  fx: 4,869685882382000E+01  -->  sd:1,606392018151810E+01
P = 12;   s =  1;   porc =  0,10;   tau =  4,50  -->  NFE:  100068  -->  fx: 5,214049860797140E+01  -->  sd:1,758411503002060E+01
P = 12;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100068  -->  fx: 5,489494641730450E+01  -->  sd:1,383122410113740E+01
P = 12;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100068  -->  fx: 5,594601146740100E+01  -->  sd:1,765199831848280E+01
