




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
55000;0,0003813633762499728;5,1699829583342404E-05;0,001767022749791707;7,554727229166971E-05;
60000;0,0003349229229166567;4,0629432291669766E-05;0,0016216865466667071;6,77711889583365E-05;
65000;0,0003318815560416575;3,79179656250054E-05;0,0016216865466667071;6,77711889583365E-05;
70000;0,0002975329658333238;3,79179656250054E-05;0,0016216865466667071;6,449225562499963E-05;
75000;0,00027264507916665377;3,79179656250054E-05;0,0016077244966667128;5,752663250000046E-05;
80000;0,00020787715270831523;3,3583032291672144E-05;0,001564881849791714;5,752663250000046E-05;
85000;0,0002056943358333162;3,3583032291672144E-05;0,001526150653125049;4,817686250000018E-05;
90000;0,00017373275270832306;2,8310542083335927E-05;0,0013630878833333752;4,817686250000018E-05;
95000;0,00016110251583332903;2,748554229166871E-05;0,0012873940497917062;4,685142583333349E-05;
100000;0,00015999083583332832;2,3683628958335006E-05;0,0012873940497917062;3,749873958333306E-05;











============================================================================
Função: Schwefel
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100000;100000;100000;100000;
meanFX;645,3276826606374;488,46207481218204;822,5423942779456;523,7704263550711;
FXatual;645,3276826606374;488,46207481218204;822,5423942779456;523,7704263550711;
medianFX;672,2249044452601;512,3502615389557;862,8792237236917;511,88893744348024;
sdFX;174,52058164690987;172,21942144345962;218,76697233672715;226,50044902798044;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;3952,63161076386;3952,63161076386;3952,63161076386;3952,63161076386;
50;3761,818631502377;3761,818631502377;3761,818631502377;3761,818631502377;
100;3634,1437103212215;3634,1437103212215;3634,1437103212215;3634,1437103212215;
500;3190,963893029316;3276,2507200817686;3448,746174091209;2971,779392058813;
1000;2582,9024068675553;2497,741983781732;2961,1673926341045;2194,351229143909;
1500;2189,015036231246;1963,6921963314057;2512,8320033145023;1740,2204589228827;
2000;1872,4760923668057;1571,0230386186822;2145,5839513086044;1401,323107117812;
2500;1684,9629897716738;1270,1531740079186;1894,7988137084014;1182,718893072874;
3000;1570,906722391623;1128,8784975667013;1695,7669762979144;1053,8685134796476;
3500;1446,3333652933377;1051,878610740505;1578,229369828093;995,7769370376398;
4000;1354,250757048033;1000,6697705713949;1491,1909512861055;963,2332053940079;
4500;1270,9737240219506;968,7789007715369;1388,2982946541301;937,9021678892228;
5000;1204,5687052426972;952,4562515953403;1341,5826200392298;921,2412854375663;
6000;1140,0000827027188;938,5862270049798;1265,8276594268254;910,4412282524759;
7000;1094,77990610383;933,4882099839349;1237,1449898015887;908,1689661975419;
8000;1058,110516184826;931,9703279213082;1230,343495383465;907,4187131971615;
9000;1031,5741019476795;931,4424634790892;1218,9992109959574;907,1783455885084;
10000;1014,6797406421872;931,0832360194697;1213,2922857326305;896,9399995213072;
12000;1005,742728862335;906,602609684412;1156,6865686899732;855,8617482042046;
14000;987,0170760691298;903,6982494680359;1102,811782352445;836,1899492704225;
16000;982,4823997079773;884,5908247067578;1092,9039373657747;805,701702395223;
18000;960,7100659303926;863,4372703510729;1084,4498582401566;785,1961185317138;
20000;938,6217592932119;848,628352555618;1084,0687931819307;774,5540701324645;
25000;903,7692366477542;798,9312535412821;1033,5448674303834;749,1500010911708;
30000;869,7186749956411;758,0736732036269;987,3547554093423;717,0708806704986;
35000;859,3115518616864;720,895925815521;958,3249880858008;696,2255358462011;
40000;833,5211816355255;692,0050037615474;938,7124066061479;672,6647689910096;
45000;825,878857450315;655,3896882132879;935,5241726592379;656,413053247151;
50000;819,7102803088223;639,6958751234894;924,2362748533063;643,1644916015197;
55000;810,163882787847;618,3650096033733;924,0682030577137;628,2886133744672;
60000;766,4441605054249;606,1969956967607;866,4619653659072;622,1437714465167;
65000;764,9574146711878;571,456863946435;862,5192280063318;614,1828045954111;
70000;753,4088638886709;557,617938268406;862,5127383772481;611,0239070544832;
75000;723,8016229015667;536,8445316526326;850,5332881585229;598,9826295240285;
80000;702,8490074952715;528,3716411226218;850,3635900669237;579,1947102666699;
85000;694,7761264134973;516,5540669660982;850,3635900669237;564,0035909875116;
90000;685,4169522433642;510,6409889500689;849,9834075492944;546,8919294621506;
95000;645,404405711432;492,1693404574145;827,199112657969;533,8260526137221;
100000;645,3276826606374;488,46207481218204;822,5423942779456;523,7704263550711;











============================================================================
Função: Ackley
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100320;100320;100320;100320;
meanFX;0,385066017305493;0,4227643872632559;1,1529694692480896;0,4347612197460126;
FXatual;0,385066017305493;0,4227643872632559;1,1529694692480896;0,4347612197460126;
medianFX;0,006365796575433791;0,004603156363980787;0,007847466915787749;0,0048021599775580626;
sdFX;0,7069899784497438;0,7139013267138071;3,69814476050337;0,733644310500659;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;21,082220113318233;21,082220113318233;21,082220113318233;21,082220113318233;
50;21,04825233777368;21,04825233777368;21,04825233777368;21,04825233777368;
100;21,031540835650098;21,031540835650098;21,031540835650098;21,031540835650098;
500;21,000390505726507;21,011187203385482;21,014809697649977;20,99203890634789;
1000;20,921591638386406;20,96099150310713;20,999068776453974;20,89424319099802;
1500;20,844804557398884;20,879538854826787;20,975574015727293;20,754860524550335;
2000;20,750659978472164;20,74087941549958;20,943879143558743;20,5982373678417;
2500;20,635783394779374;20,595915504022443;20,905903668465378;20,39489093808935;
3000;20,488611514182775;20,40935088051318;20,86230790284701;20,182513173220165;
3500;20,32119132750491;20,200888765721416;20,78442382316396;19,957048261350387;
4000;20,13538792917361;19,962256290748016;20,691142964528694;19,691386891773;
4500;19,913046532689144;19,678524781551957;20,590250693165434;19,398754244346957;
5000;19,69899466511308;19,396646600239926;20,4705259745921;19,079794614894123;
6000;19,140082181196743;18,764618067873528;20,164609174642802;18,356683885256807;
7000;18,47964911143287;18,027583757785365;19,807852773523344;17,555920348091135;
8000;17,818056993995523;17,19396153962914;19,36832508529698;16,712135417278397;
9000;17,087444979182134;16,30337185534835;18,84488195791989;15,821210091046002;
10000;16,365625184114045;15,387957796263454;18,327192105453182;14,972239056182751;
12000;14,931919485004718;13,7230521536916;17,1424861659612;13,40998811889744;
14000;13,476896709745034;12,137685461801583;15,768559878157378;11,907197838701517;
16000;12,174682405668847;10,91431284755842;14,616507443094882;10,609583150912169;
18000;10,921807461924082;9,747417136847362;13,554612173800914;9,476997241635784;
20000;9,88833391183776;8,712319368394109;12,613234071227623;8,526454207391781;
25000;7,546075065231988;6,476097106013078;10,332679419762206;6,329609738957659;
30000;5,7915789731622445;4,821626676368482;8,58454684175007;4,709534661617372;
