




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
90000;3,496426208107813E-05;6,582718400903943E-05;0,27078357266123637;0,008940496473858412;
95000;3,123798980257286E-05;5,1642557299221295E-05;0,2503805547514629;0,007914110171166971;
100000;3,08855204369334E-05;4,308823845739251E-05;0,22359615381917122;0,006985646514112597;











============================================================================
Função: schwefel
============================================================================
parameter;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
meanNFE;100100;100100;100100;100089;
meanFX;1231,5292933145763;519,2237204333087;2574,337019853673;11,843960738303403;
melhorFX;454,1312970069139;119,18353686117462;1473,7923267802653;0,00012727566354442388;
piorFX;2013,5558758910888;948,2563537658984;4248,75561361398;118,4384618901031;
medianFX;1211,6565770714847;474,41723216403716;2422,0412393429706;0,00012727566627290798;
sdFX;365,4208434956548;183,5551520009193;642,3986160341973;35,89223552458772;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
5;3938,871936149629;3893,5086476791207;3858,9887181267504;3881,2185530828483;
50;3585,718300431755;3560,1723150848343;3595,4540603173896;3665,274492958532;
100;3463,647942105404;3422,007954517452;3595,4540603173896;3644,8382459619997;
500;2373,7337104026246;2265,4226952617482;3506,6772246202286;2836,145166266046;
1000;1879,5394409967191;1641,105611579108;3346,040590108821;1824,1637987932086;
1500;1781,595552671768;1506,1068513442972;3283,8324433432335;1180,7592692288829;
2000;1765,204177651315;1338,5996017433959;3149,7103435175377;776,0662959044706;
2500;1758,9003023621574;1203,387460074118;3122,8166785671683;618,9900774372263;
3000;1727,92304366112;1090,3953305620516;3086,779664242048;514,1396827424767;
3500;1726,2872907074793;1015,1166592083285;3071,2560191166117;425,5367890126682;
4000;1715,1363096119974;944,0716007815262;3026,2004480319647;378,6401558030991;
4500;1703,20347135374;909,6397830282405;3026,2004480319647;351,326363889732;
5000;1703,012670716431;867,6224881549737;3001,4955337140486;331,0059878794264;
6000;1700,9207967603145;796,2660663731268;2962,0428708854474;311,06405837711975;
7000;1691,21830729061;739,3619030733616;2938,1044775793443;300,5409600066295;
8000;1687,0943363788806;720,9679015255682;2924,3888397443634;289,77168400933147;
9000;1680,8055600999246;672,7422224330879;2909,0743757690193;282,0411312759592;
10000;1660,024317835311;632,6625215325596;2900,384894007588;278,8045204531901;
12000;1637,0875206029648;604,2920918611434;2879,8331350312783;250,70057115001416;
14000;1624,063414981199;581,1899939371469;2840,9280873565317;228,5763883710024;
16000;1608,4905859518265;570,2686336375358;2800,387501014034;214,95382906619878;
18000;1597,1635748359179;565,6774132501188;2800,387501014034;191,8630253061171;
20000;1594,916831044155;554,6174913561824;2791,8370588701277;183,56193098949433;
25000;1542,9339926044838;543,3105726200133;2791,8370588701277;141,87038566159518;
30000;1525,6772641833927;543,224870788083;2778,2871387566634;126,11512932746507;
35000;1497,5498618893096;540,8496641060619;2732,8904701214565;111,08977945838775;
40000;1476,8231790686364;536,1175001425402;2711,2430563947714;96,78278150770194;
45000;1442,8926060788858;536,0169323223297;2701,789873470136;77,39292256758773;
50000;1421,4535900061978;535,9610533211898;2683,0602607028254;66,37997477587552;
55000;1394,4405786583063;531,2300858714523;2672,2647441436693;56,85053519861198;
60000;1360,9184722482123;531,1406942799101;2654,092395787235;49,74430711099233;
65000;1350,1086075996031;530,9745918303738;2639,6741914472195;45,006694745560054;
70000;1320,938330146978;528,7603562482002;2609,9031355226107;40,76448025377972;
75000;1308,7220086013344;526,3828016704186;2609,9031355226107;35,531627660927526;
80000;1292,6233315797929;521,6519014160989;2597,1919867434576;29,56387216820873;
85000;1280,7158247247603;519,2825707625755;2597,1919867434576;20,17901978283421;
90000;1253,6269633174472;519,231965397674;2591,823020736728;16,581494122724735;
95000;1247,5229249321146;519,2260233471754;2574,337019853673;14,212727430592276;
100000;1231,565258325916;519,2237204333087;2574,337019853673;11,843960738303403;











============================================================================
Função: ackley
============================================================================
parameter;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
meanNFE;100130;100130;100130;100161;
meanFX;0,12733577139982905;0,6667083986009459;20,774329253503115;4,5393503192769915E-07;
melhorFX;0,07710811986070709;0,49217012711252295;19,544128350910686;3,8288254700091784E-07;
piorFX;0,1753617296537051;0,92100177671864;21,499361013240378;5,348294145335331E-07;
medianFX;0,13058892138444733;0,6762940563873805;20,828976831562827;4,5495949763108E-07;
sdFX;0,024633918399443146;0,08993024404384038;0,37707865286594583;3,6082562204277486E-08;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
5;21,06297018805115;21,06554301209232;21,0605241619818;21,053051086177973;
50;20,987672275521906;21,019086571721335;20,99551520511533;21,000378658405307;
100;20,941167407237845;20,955131816856237;20,95132581214536;20,999230876587987;
500;20,729829786559662;20,750811899472822;20,929387883568126;20,929960616485264;
1000;20,32472255296846;20,27416630056284;20,915829882388135;20,67348606664055;
1500;20,003959636916406;19,908556813547627;20,90652309614994;20,39113629222353;
2000;19,483650274514453;19,24080688155675;20,876960576117085;19,901000155836215;
2500;18,999772630412487;18,410292707417838;20,871718059646618;19,63421217229682;
3000;18,526870330470203;17,575396714617483;20,863391326589053;18,924337981565298;
3500;17,76124840170993;15,683956800403612;20,858686573408093;18,02200802826918;
4000;17,123978218474992;14,108904425920127;20,852929276122794;16,832014218597852;
4500;15,723195393586657;10,524808699604984;20,844646424788102;15,517210236204422;
