




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
65000;0,6417470257009394;6,096174528143668E-08;3,070755229354442E-08;4,387972916821308;1,5456109080010567E-07;
70000;0,5556630958890427;5,6662582892386124E-08;3,013339468319979E-08;3,809855361002545;1,5373672421029975E-07;
75000;0,5032542187736176;5,402225085049395E-08;2,946073784926284E-08;3,2990150838516836;1,5335851012802475E-07;
80000;0,4908548717330838;5,3324389289362743E-08;2,9442687813722537E-08;2,7929872532114737;1,5052063098153213E-07;
85000;0,48272201450050833;5,3324389289362743E-08;2,935640281975793E-08;2,3536085858249978;1,5010797239275082E-07;
90000;0,4784658442883759;5,2955931195697303E-08;2,9015777869290106E-08;1,9527094880175337;1,482550327835952E-07;
95000;0,47582228037138324;5,2304168226176746E-08;2,878460693504318E-08;1,5714359149066592;1,4811836509901847E-07;
100000;0,4741336366337271;5,1543986974896446E-08;2,813883265654719E-08;1,2299004600902792;1,4775832966051893E-07;











============================================================================
Função: Beale
============================================================================
parameter;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100022;100000;100000;100020;100020;
meanFX;0,0007285694786337371;8,857764921028172E-09;2,1250451073044513E-11;0,12693270512011495;2,2079773139414001E-13;
melhorFX;1,6778542554548538E-07;9,945882026912462E-11;1,3481838011284325E-13;5,012890012869833E-09;7,0350210680302185E-15;
piorFX;0,00972466418511786;6,473421285476589E-08;1,631428247227963E-10;0,761605129540118;1,2471209513024877E-12;
medianFX;8,919404970794512E-05;5,044371349703987E-09;1,0371541451885445E-11;1,0078616662701264E-06;1,1778006158201972E-13;
sdFX;0,0021679155739124144;1,2125861521326704E-08;3,772056054062849E-11;0,28867961421693633;2,976500081352185E-13;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;509,99657255534237;6492,191688662366;8305,812480379958;4506,692393332404;7400,191274269944;
50;8,01104998133256;14,765842930886153;2816,318970022718;2536,1270389460287;77,68247419772199;
100;2,4970955465125337;2,5868965550452443;103,93846813954295;972,539553861022;5,993892995992585;
500;1,0161179374064253;1,1904795220095865;1,1308239109485645;1,3555122894301281;1,2254982296752746;
1000;0,7099214004040378;1,0362904465188931;1,0725410222667244;0,6700609935288285;0,9975017936498365;
1500;0,5253332157075222;0,6453204924413188;1,0403613510234464;0,6439224741445926;0,739204068336633;
2000;0,46078136794006946;0,5568969868668227;1,0168952644730642;0,630434017806612;0,4971890947821855;
2500;0,3667294361764256;0,43747185863010596;0,9857219136370335;0,6260895463566083;0,49250490428502397;
3000;0,3666391159976122;0,41200219683866657;0,9209454610620103;0,6226268281184554;0,43438711500664245;
3500;0,30855166613929075;0,3648786409988403;0,6425621516199373;0,6203743172989049;0,37010055414940374;
4000;0,24818712679787724;0,3084055425010241;0,3507498896621332;0,6180513184323843;0,30025278926976184;
4500;0,24057877728716448;0,2778392845521221;0,301061450686434;0,3051996593598812;0,2870701143855783;
5000;0,23414705681821082;0,2056630907482066;0,2869760506405243;0,3051881330065276;0,2772360605552592;
6000;0,12344458423174472;0,07941072775186644;0,2723390451405749;0,30510079595437933;0,2478892031272573;
7000;0,10878663153661351;0,0767014946255256;0,2339634912643911;0,30492345815208705;0,19923995211382547;
8000;0,10804943967067411;0,07616729185197699;0,22531345512924164;0,3049117778553368;0,15890450570820702;
9000;0,0711965252659975;0,07616594641253197;0,21884110858082864;0,3049071706305907;0,13158012433967317;
10000;0,04906855473412838;0,07615873372991425;0,21333381298160276;0,304734872904464;0,13145878061807295;
