


============================================================================
============================================================================
TUNING GEO REAL2 P VO
============================================================================
============================================================================










============================================================================
Função: Griewangk
============================================================================
P = 10;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,291530796183890E-01  -->  sd:7,137817173484450E-02
P =  5;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,313782364373040E-01  -->  sd:3,167958883880340E-02
P =  5;   s =  1;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,347988536123210E-01  -->  sd:4,096668726591430E-02
P =  5;   s =  4;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,409954167501570E-01  -->  sd:5,186618338909500E-02
P =  5;   s =  1;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,664197979619610E-01  -->  sd:3,896352045191210E-01
P =  5;   s =  4;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,789741511119650E-01  -->  sd:5,069339520719380E-02
P =  5;   s =  1;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,837259307315040E-01  -->  sd:1,247930948640560E-01
P =  5;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,914657528586210E-01  -->  sd:5,908510791278530E-02
P =  5;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,042757728246890E-01  -->  sd:7,586038861239870E-02
P =  5;   s =  4;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,095184085165790E-01  -->  sd:6,903449481444550E-02
P =  5;   s =  1;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,150234543067170E-01  -->  sd:5,319032722602670E-02
P = 10;   s =  1;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,220133364468790E-01  -->  sd:1,100637100779980E-01
P = 10;   s =  4;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,247312342178740E-01  -->  sd:9,316962888599300E-02
P = 10;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,376895537446820E-01  -->  sd:7,984689976752420E-02
P = 10;   s =  4;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,550610311505350E-01  -->  sd:9,585869322556630E-02
P = 10;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,592289932778300E-01  -->  sd:1,013753397563100E-01
P = 10;   s =  1;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,822273878479820E-01  -->  sd:9,287756692911600E-02
P =  5;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,447312775140730E-01  -->  sd:8,088013087222890E-02
P =  5;   s =  1;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,615091157168270E-01  -->  sd:6,651682231377160E-02
P = 10;   s =  1;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,751036756320960E-01  -->  sd:1,283080519868790E-01
P =  5;   s =  4;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,976750146740060E-01  -->  sd:1,193656350853330E-01
P =  5;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,747812015086640E-01  -->  sd:1,006907183220550E-01
P =  5;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,753062504291360E-01  -->  sd:8,219148213309270E-02
P =  5;   s =  4;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,788059133358430E-01  -->  sd:1,079041702568810E-01
P =  5;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,919462823208500E-01  -->  sd:9,295417416314090E-02
P =  5;   s =  4;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 4,978442157202530E-01  -->  sd:1,308034808364440E-01
P =  5;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,039347167636880E-01  -->  sd:8,841808643847220E-02
P =  5;   s =  1;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,288270759464870E-01  -->  sd:8,721900712267990E-02
P =  5;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,400903730960820E-01  -->  sd:1,243858868260340E-01
