


============================================================================
============================================================================
TUNING GEO REAL2 N VO
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,006379561624150E+01  -->  sd:1,133089492198060E+01
P =  5;   s =  4;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,149083284773860E+01  -->  sd:1,103762606748900E+01
P =  5;   s =  4;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,179337591311400E+01  -->  sd:7,722592383941390E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,266136368054690E+01  -->  sd:1,034227170203610E+01
P =  5;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,445867102297730E+01  -->  sd:9,581653148800650E+00
P = 10;   s =  4;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,550290731047710E+01  -->  sd:1,079093680977430E+01
P =  5;   s =  4;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,733646003041180E+01  -->  sd:1,703577835166910E+01
P =  5;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,751493496535650E+01  -->  sd:1,146925056065840E+01
P = 10;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,929743188254510E+01  -->  sd:1,484134564065770E+01
P = 10;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,964664849708120E+01  -->  sd:1,433347759865890E+01
P = 10;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,980380308089050E+01  -->  sd:1,360200539052190E+01
P =  5;   s =  4;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 3,047249578382250E+01  -->  sd:1,471575787537040E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,049812888177260E+01  -->  sd:8,000384202127690E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,070482465686100E+01  -->  sd:1,336822119648360E+01
P =  5;   s =  4;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,073457961337720E+01  -->  sd:1,391467370456440E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,092774628342610E+01  -->  sd:1,321680820649370E+01
P =  5;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,161426620328050E+01  -->  sd:1,238917766307930E+01
P =  5;   s =  4;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,182843143274130E+01  -->  sd:1,056262220479950E+01
P = 10;   s =  4;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,189073226765300E+01  -->  sd:1,433655156165190E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,236665085725840E+01  -->  sd:1,509040707846640E+01
