


============================================================================
============================================================================
TUNING GEO REAL2 O DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P = 10;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:   38940  -->  fx: 3,288224224626270E-04  -->  sd:1,801034581962740E-03
P =  5;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   39000  -->  fx: 7,380479552056230E-04  -->  sd:4,042455135866820E-03
P = 10;   s = 10;   std1 =  2,00;   tau =  1,50  -->  NFE:   39626  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:   41800  -->  fx: 3,285761536091210E-04  -->  sd:1,799685711899980E-03
P = 10;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   41850  -->  fx: 4,261513863636390E-03  -->  sd:1,077972735575180E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:   43355  -->  fx: 6,948208348626730E-03  -->  sd:1,840258772808800E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:   46080  -->  fx: 2,351378830522830E-04  -->  sd:1,265676034506920E-03
P =  5;   s = 10;   std1 =  0,50;   tau =  3,50  -->  NFE:   46306  -->  fx: 2,379209499196730E-03  -->  sd:6,413063052191860E-03
P = 10;   s = 10;   std1 =  0,50;   tau =  1,00  -->  NFE:   46806  -->  fx: 2,024891799049890E-08  -->  sd:1,109078914846840E-07
P = 10;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:   46966  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:   47045  -->  fx: 5,162567866158680E-03  -->  sd:1,201374940006970E-02
P =  5;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   47140  -->  fx: 4,425920193482270E-03  -->  sd:1,126011127574980E-02
P = 10;   s = 10;   std1 =  2,00;   tau =  1,00  -->  NFE:   47816  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:   47846  -->  fx: 4,755229768793060E-03  -->  sd:1,133243358408270E-02
P = 10;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:   48536  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   48566  -->  fx: 3,525690656480820E-03  -->  sd:9,679603381961510E-03
P = 10;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:   49900  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  4,00  -->  NFE:   51893  -->  fx: 4,998579386785510E-03  -->  sd:1,187175989609170E-02
P =  5;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   52558  -->  fx: 3,121174071763150E-03  -->  sd:5,747174618988590E-03
P = 10;   s = 10;   std1 =  0,50;   tau =  1,50  -->  NFE:   54700  -->  fx: 6,573992647653760E-04  -->  sd:2,501813213423430E-03
P = 10;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:   56073  -->  fx: 4,919971799391360E-03  -->  sd:1,012744976931360E-02
P =  5;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:   56585  -->  fx: 7,233051672037630E-03  -->  sd:1,366134560244040E-02
P = 10;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:   59583  -->  fx: 3,442573738594330E-03  -->  sd:8,698973974099300E-03
P =  5;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   60313  -->  fx: 1,155498306344110E-02  -->  sd:1,623046353901200E-02
P =  5;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   60838  -->  fx: 7,787436823643000E-03  -->  sd:1,431099864574010E-02
P = 10;   s = 10;   std1 =  2,00;   tau =  2,00  -->  NFE:   61533  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   61540  -->  fx: 7,543202973687860E-03  -->  sd:1,360985330589960E-02
P = 10;   s = 10;   std1 =  0,50;   tau =  0,50  -->  NFE:   68936  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   69106  -->  fx: 1,967501185482550E-02  -->  sd:1,725333045249410E-02
P = 10;   s = 10;   std1 =  2,00;   tau =  2,50  -->  NFE:   70013  -->  fx: 9,345560705510800E-03  -->  sd:1,385243633116490E-02
P =  5;   s = 10;   std1 =  2,00;   tau =  4,50  -->  NFE:   70646  -->  fx: 1,377196796963860E-02  -->  sd:1,432897593261670E-02
P = 10;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   70760  -->  fx: 1,696669957270750E-02  -->  sd:1,643507183375200E-02
P =  5;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:   71275  -->  fx: 1,000547429970330E-02  -->  sd:1,129600765605930E-02
P =  5;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:   71405  -->  fx: 1,542567399816200E-02  -->  sd:1,674026953965570E-02
P = 10;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:   74506  -->  fx: 2,041768829196450E-02  -->  sd:1,809323030449100E-02
P =  5;   s = 10;   std1 =  0,50;   tau =  4,00  -->  NFE:   74691  -->  fx: 1,245971297478520E-02  -->  sd:1,287978649400120E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   74893  -->  fx: 1,328266529849940E-02  -->  sd:1,537970904784730E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:   75506  -->  fx: 2,116638331264000E-02  -->  sd:1,794747566778750E-02
P = 10;   s = 10;   std1 =  0,50;   tau =  2,00  -->  NFE:   75683  -->  fx: 8,452154837098990E-03  -->  sd:1,298859104029660E-02
P = 10;   s = 10;   std1 =  0,50;   tau =  2,50  -->  NFE:   78706  -->  fx: 1,213482237316190E-02  -->  sd:1,407355243649440E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:   78910  -->  fx: 2,811752610739190E-02  -->  sd:2,591160805162520E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:   79066  -->  fx: 1,139783950892970E-02  -->  sd:1,159180476325220E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:   79956  -->  fx: 1,959721439457710E-02  -->  sd:1,964052603345490E-02
P = 10;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:   80320  -->  fx: 1,713415364499090E-02  -->  sd:1,334651845472980E-02
P = 10;   s = 10;   std1 =  2,00;   tau =  3,00  -->  NFE:   80533  -->  fx: 1,740856336991740E-02  -->  sd:1,636710653444670E-02
P =  5;   s = 10;   std1 =  0,50;   tau =  4,50  -->  NFE:   80723  -->  fx: 1,828148582538450E-02  -->  sd:1,675309656654870E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:   81230  -->  fx: 1,541296624038040E-02  -->  sd:1,584062577037610E-02
P = 10;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   81476  -->  fx: 2,041347226846100E-02  -->  sd:1,744663550679510E-02
P = 10;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   83123  -->  fx: 2,582306820693160E-02  -->  sd:2,166632689218680E-02
P = 10;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:   83473  -->  fx: 1,803773365264130E-02  -->  sd:1,565981664529450E-02
P =  5;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   83553  -->  fx: 2,024386225096800E-02  -->  sd:1,516317435590650E-02
P = 10;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:   83993  -->  fx: 2,967879224843770E-02  -->  sd:2,245578609365030E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:   84140  -->  fx: 2,640060965757080E-02  -->  sd:1,894401487388770E-02
P = 10;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:   84143  -->  fx: 2,344328777332400E-02  -->  sd:1,901444640136910E-02
P = 10;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   84206  -->  fx: 2,599026590697990E-02  -->  sd:2,005324494267020E-02
P = 10;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:   84240  -->  fx: 1,991694036593800E-02  -->  sd:2,019874194659420E-02
P =  5;   s = 10;   std1 =  2,00;   tau =  5,00  -->  NFE:   85003  -->  fx: 1,574633803259240E-02  -->  sd:1,338360712876090E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:   85570  -->  fx: 2,689501176656170E-02  -->  sd:2,306982847474270E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   85773  -->  fx: 2,230021587160140E-02  -->  sd:2,093970210174190E-02
P = 10;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   86096  -->  fx: 2,771243497711540E-02  -->  sd:1,999594546995420E-02
P = 10;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   87663  -->  fx: 2,770557525800520E-02  -->  sd:1,907498613225850E-02
P = 10;   s = 10;   std1 =  0,50;   tau =  3,00  -->  NFE:   88273  -->  fx: 2,007975612569060E-02  -->  sd:1,786805958810320E-02
P =  5;   s = 10;   std1 =  0,50;   tau =  5,00  -->  NFE:   88338  -->  fx: 2,410782277733310E-02  -->  sd:1,828188981310430E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:   88463  -->  fx: 5,509248480369400E-02  -->  sd:5,730346911553440E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:   88623  -->  fx: 3,008032308697380E-02  -->  sd:2,042896781281270E-02
P = 10;   s = 10;   std1 =  0,50;   tau =  4,00  -->  NFE:   89733  -->  fx: 3,263092643486620E-02  -->  sd:1,855625971741590E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   89983  -->  fx: 2,435052949466190E-02  -->  sd:1,785646039632500E-02
P = 10;   s = 10;   std1 =  0,50;   tau =  4,50  -->  NFE:   90416  -->  fx: 2,836591029049370E-02  -->  sd:2,006616768745310E-02
P = 10;   s = 10;   std1 =  2,00;   tau =  4,50  -->  NFE:   91166  -->  fx: 3,712663174837860E-02  -->  sd:2,700521780049330E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   92510  -->  fx: 2,935319508946720E-02  -->  sd:1,766627973466230E-02
P = 10;   s = 10;   std1 =  0,50;   tau =  5,00  -->  NFE:   92530  -->  fx: 3,172038616526850E-02  -->  sd:2,109359697378240E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   93143  -->  fx: 3,495722412083060E-02  -->  sd:2,225187398499970E-02
