




============================================================================
Função: Griewangk
============================================================================
P =  8;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 7,286209702948120E-01  -->  sd:1,051889811334500E-01
P =  8;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 7,912465309604230E-01  -->  sd:1,193239552993890E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,005487700063980E-01  -->  sd:1,067118851576380E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,426447658365700E-01  -->  sd:1,270939627033460E-01
P =  8;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 9,678345664555780E-01  -->  sd:7,736198089621770E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,732627210166080E-01  -->  sd:9,018659603054630E-02
P =  8;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,032178977132610E+00  -->  sd:5,352281836830740E-01
P =  8;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,045817304381180E+00  -->  sd:2,521999922842810E-01
P =  8;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,132593292885220E+00  -->  sd:1,301452305630530E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 1,762134550015640E+00  -->  sd:1,873611473748580E+00
P =  8;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,849175639716160E+00  -->  sd:1,738752029033160E+00
P =  8;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,912594930896900E+00  -->  sd:1,781218995279580E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 2,004781075786540E+00  -->  sd:1,816349319875520E+00
P =  8;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 2,235802540333790E+00  -->  sd:2,244770680950030E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 2,275138391625340E+00  -->  sd:1,909605864132430E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 2,558861478615570E+00  -->  sd:1,536148558978650E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 2,588991300743750E+00  -->  sd:1,730168920725550E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 2,740908438499220E+00  -->  sd:3,320205910724290E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 2,802429951286500E+00  -->  sd:2,679847949116280E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 3,046594697380730E+00  -->  sd:2,031762265615860E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 3,159272971193100E+00  -->  sd:3,206462407521120E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 3,203231570356450E+00  -->  sd:2,483135771246350E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 3,223907063796560E+00  -->  sd:2,417336682789790E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 3,868350530060240E+00  -->  sd:2,967387409882010E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 4,072695100602400E+00  -->  sd:3,892055060932650E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,244176018264670E+00  -->  sd:2,775249727139290E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 4,360892928077300E+00  -->  sd:2,803422430917790E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 4,688690627780500E+00  -->  sd:3,495001013616900E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,884683395929770E+00  -->  sd:2,651887397359680E+00
