




============================================================================
Função: Griewangk
============================================================================
P =  8;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:   11173  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:   11364  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:   12098  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   13632  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:   13863  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:   13906  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:   13987  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:   14650  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  1,50  -->  NFE:   14751  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:   15023  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:   15547  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:   15631  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  3,00  -->  NFE:   16608  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  4,00;   tau =  2,50  -->  NFE:   17032  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
