




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:    4531  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:    4583  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:    4603  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:    4748  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:    5517  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:    5653  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:    6347  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:    6564  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:    7027  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:    7143  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:    7285  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:    7363  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:    7548  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:    8254  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:    8291  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:    8404  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:    8477  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:    9359  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:    9486  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:    9770  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:    9942  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:    9968  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:   10303  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:   10450  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   10544  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   10713  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:   10777  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:   10906  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:   10940  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   11104  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:   11612  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:   11630  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:   11636  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:   11783  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:   12223  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:   12687  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:   12860  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:   12943  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   13290  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:   13302  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:   13594  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:   14161  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   14168  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:   14271  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   14615  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   14745  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   15571  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   16595  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:   16776  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   17697  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:   18876  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   19608  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:   19771  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:   21494  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
