




============================================================================
Função: Griewangk
============================================================================
P =  4;   s = 10;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,005865095287890E-01  -->  sd:1,237348124493140E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 8,028358873030450E-01  -->  sd:1,017674994634400E-01
P = 12;   s = 10;   porc = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 8,107861992113190E-01  -->  sd:2,036600538075720E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,907095107032640E-01  -->  sd:1,013829648603730E-01
P =  4;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,342025243890960E-01  -->  sd:1,196486285123690E-01
P =  4;   s = 10;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,784622409754820E-01  -->  sd:1,343416773849190E-01
P =  4;   s = 10;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,802166064743400E-01  -->  sd:1,101135615978960E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,023465367196320E+00  -->  sd:8,000205810434930E-02
P =  4;   s = 10;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,115029882120480E+00  -->  sd:1,015059991627130E-01
P =  4;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,154762759481090E+00  -->  sd:5,725817306306790E-02
P = 12;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,320220903284120E+00  -->  sd:2,250810891980550E-01
P = 12;   s = 10;   porc = 50,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,475940533916750E+00  -->  sd:3,862419983327890E-01
P =  4;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,540371688762810E+00  -->  sd:1,555976963754170E-01
P =  4;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,558075062683950E+00  -->  sd:1,607528912395390E-01
