




=======================================================
Tuning: 1
=======================================================





============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 5,770254671735610E+01  -->  sd:1,919826081848010E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 5,867834500739590E+01  -->  sd:1,035472419914000E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 5,968632049202290E+01  -->  sd:1,918319789601710E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,086048697160550E+01  -->  sd:1,302090496305260E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,190104347967160E+01  -->  sd:1,251541582345500E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,267677531415270E+01  -->  sd:1,239401222252250E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,284369109472410E+01  -->  sd:1,519045089796220E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,322743040831170E+01  -->  sd:1,681692089441250E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,403991690990140E+01  -->  sd:1,361867364932860E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 6,421278791630230E+01  -->  sd:1,695141052889000E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 6,522834703746480E+01  -->  sd:1,369409890004530E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,582876955273530E+01  -->  sd:1,661579957712400E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 6,635959962458820E+01  -->  sd:1,668228916337360E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,671389459601420E+01  -->  sd:1,353006216469920E+01
