


============================================================================
============================================================================
TUNING GEO REAL2 N DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,904683550787830E+01  -->  sd:6,276861321059010E+00
P = 10;   s = 10;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,939577341758260E+01  -->  sd:8,446791148106930E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,026694283052240E+01  -->  sd:1,224307419885290E+01
P =  5;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,057185585855660E+01  -->  sd:8,623577197540540E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,142133947870350E+01  -->  sd:1,209290794957420E+01
P = 10;   s = 10;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,269261631560280E+01  -->  sd:1,097679876390050E+01
P =  5;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,294945404404090E+01  -->  sd:1,171125652490470E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,399831303342490E+01  -->  sd:9,580556505824280E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,597774632784950E+01  -->  sd:1,036239325845640E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,172554578732360E+01  -->  sd:1,214716427169140E+01
P = 10;   s = 10;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,247941910142130E+01  -->  sd:1,154298567074270E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,262209099264020E+01  -->  sd:1,175823187159670E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,305249733548990E+01  -->  sd:1,176382303433770E+01
P = 10;   s = 10;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,378672095298090E+01  -->  sd:1,604974607442330E+01
P = 10;   s = 10;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,428113373376350E+01  -->  sd:1,421554377833910E+01
P = 10;   s = 10;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,497129784985380E+01  -->  sd:1,383061025224390E+01
