




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: CEC2017_01
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;5,11E+9;8,42E+9;3,39E+4;
melhorFX;1,18E+9;3,00E+9;3,29E+0;
piorFX;1,03E+10;2,81E+10;4,87E+5;
medianFX;5,02E+9;7,02E+9;3,59E+3;
sdFX;1,96E+9;5,36E+9;9,57E+4;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
100000;468,0078833037507;1613,8309494714729;75,71273678977981;











============================================================================
Função: CEC2017_05
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;1,94E+2;2,80E+2;1,73E+2;
melhorFX;1,11E+2;1,10E+2;9,55E+1;
piorFX;2,78E+2;3,63E+2;3,03E+2;
medianFX;2,02E+2;2,93E+2;1,71E+2;
sdFX;4,18E+1;5,70E+1;5,41E+1;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;1003,957588262317;1003,957588262317;998,6379680468455;
50;939,1532721450623;939,1532721450623;949,1838396417976;
100;905,9506164405332;905,9506164405332;949,1838396417976;
500;892,2275770804151;782,5303085687021;935,4119841194162;
1000;870,7734806801262;649,9554081878808;897,5604910211846;
1500;838,2384278040641;554,482531351617;865,4590228770888;
2000;789,8922523603113;476,3675181562734;799,09341036378;
2500;721,6300044894758;418,0593710594356;782,0616199757156;
3000;671,3257584048553;384,24998349321146;682,5150038240295;
3500;621,9507226723714;361,4491878143463;598,6738810253607;
4000;573,3397081029997;350,6614386970567;497,5342138898231;
4500;530,6113236363079;340,11660399649855;409,9777058005979;
5000;496,4571871148444;333,84125173142377;364,0484196583138;
6000;436,4226745320091;324,92805437692664;266,3909578739547;
7000;386,5340178809545;321,693339122122;229,35018792425237;
8000;351,00348240752766;319,6237547996598;207,7654159633745;
9000;318,64828666130745;317,0358015093528;199,86141799016164;
10000;293,8079903869137;315,1400631876488;194,86613951054565;
12000;263,7488825828852;309,8585315835798;189,5415672213754;
14000;244,97674955822043;308,0046876368027;185,44062361289244;
16000;234,9054557156265;306,03179548256594;183,7301790097102;
18000;227,55434557942192;304,7737304429748;181,2238674192218;
20000;222,29543148404548;301,94415925925546;180,74622120431565;
25000;215,1968681150782;298,10010819012666;180,40592618367808;
30000;211,54154901252852;293,5051751035253;177,7121140031795;
35000;210,43291977918872;291,73266463615624;176,39798271969005;
40000;209,91916958909795;290,6072139520334;175,93701894683412;
45000;209,69845385591069;290,6072139520334;173,6538550401104;
50000;209,58645149054652;290,6072139520334;173,38440669472007;
55000;209,5360091557372;290,6072139520334;173,35140431469668;
60000;209,5152104720106;290,4820486321892;173,3508657802278;
65000;209,50774485565302;286,42795821146683;173,35086577995742;
70000;209,5061704827184;285,34664830121153;173,35086577995708;
75000;209,09683439854177;282,23549139287604;173,3508657799569;
80000;201,0812766081384;282,23549139287604;173,3508657799568;
85000;197,57210171240197;282,23549139287604;173,35086577995662;
90000;197,00511715011234;282,23549139287604;173,35086577995645;
95000;196,2056552449622;282,23549139287604;173,3508657799563;
100000;194,48245236992818;280,398898037182;173,35086577995625;











============================================================================
Função: CEC2017_06
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;1,80E+1;2,24E+1;6,48E-7;
melhorFX;6,47E+0;6,63E+0;5,65E-7;
piorFX;3,71E+1;5,72E+1;9,43E-7;
medianFX;1,76E+1;1,87E+1;6,37E-7;
sdFX;7,43E+0;1,48E+1;6,50E-8;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;203,971238174073;203,971238174073;198,45108063172856;
50;196,98516926283884;196,98516926283884;189,1224460471611;
100;193,82052040126624;193,82052040126624;189,06669833129536;
500;185,73455249489228;155,55164371994596;181,84311890473316;
1000;179,6010266581374;121,64734121391307;163,0948649930433;
1500;169,04066549524063;92,6702957546226;144,7116240657038;
2000;158,39575518522255;73,13373694004393;127,13328888310846;
2500;147,2442894465667;56,94579752480947;114,52174044268197;
3000;136,04889741361293;46,70017516219325;90,14885862964779;
3500;126,69694934584666;38,4463544811582;71,62160942075099;
4000;117,77349978552662;32,57218315806973;56,62577877424258;
4500;108,25379325117387;29,131893122210506;46,72845854398752;
5000;100,50722271586133;27,067848621032486;36,314402467767074;
6000;87,36376714593992;24,374659515229038;22,374635716583946;
7000;77,29290507886775;23,543978431808366;16,731579989059476;
8000;69,16105040477503;22,93879655883851;11,302278703183413;
9000;62,14311805830109;22,837041594417585;7,78449831837203;
10000;57,005313131865755;22,805668495466854;6,044242734455755;
12000;48,27902620619303;22,805668495466854;3,444081284021452;
14000;41,08104176552644;22,805668495466854;1,7158006392012133;
16000;35,70852477758351;22,70849521825704;0,8834316472235062;
18000;32,26197144920663;22,60630342142289;0,46783038876072924;
20000;29,583592883659907;22,60630342142289;0,2170807021556604;
25000;24,973531044707624;22,430726004608626;0,025754497771674708;
30000;23,278025337174206;22,430726004608626;0,002734403341308023;
35000;22,137055722703114;22,430726004608626;0,0003027712889069166;
40000;21,490135587472643;22,430726004608626;0,0001299051845650252;
45000;21,248564811223684;22,430726004608626;7,865988534913533E-05;
50000;21,09932658799103;22,430726004608626;6,967277741298863E-05;
55000;21,029024053769792;22,430726004608626;6,497937933455079E-05;
60000;20,942983323306674;22,430726004608626;6,31999190088831E-05;
65000;20,89908325812375;22,430726004608626;6,209001569007783E-05;
70000;20,685866440587095;22,430726004608626;6,9567509756090436E-06;
75000;20,104448261490067;22,430726004608626;3,5726085546796823E-06;
80000;19,763099799203182;22,430726004608626;2,527662564078198E-06;
85000;19,424354383026362;22,430726004608626;1,3305914555879483E-06;
90000;18,976769208503008;22,430726004608626;8,043342883509192E-07;
95000;18,545410373286927;22,430726004608626;6,517428210994036E-07;
100000;18,068891082567962;22,430726004608626;6,483847061199612E-07;











============================================================================
Função: CEC2017_07
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;3,40E+2;4,91E+2;1,68E+2;
melhorFX;1,91E+2;2,42E+2;8,76E+1;
piorFX;4,68E+2;9,59E+2;2,42E+2;
medianFX;3,55E+2;4,50E+2;1,71E+2;
sdFX;6,25E+1;1,80E+2;3,10E+1;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;4302,153351347216;4302,153351347216;4156,542198041515;
50;4143,59698071502;4143,59698071502;3935,9552832392637;
100;4084,5717769896787;4084,5717769896787;3935,5478540565946;
500;3876,489975469254;3179,558440562116;3797,240596811609;
1000;3778,02266763514;2136,8417756168174;3447,77741127578;
1500;3622,982232714797;1529,5619556537843;3023,5685865145297;
2000;3461,7557264426005;1143,7435459625826;2385,934491071971;
2500;3176,6428013614527;924,1543591902267;2156,4551599064453;
3000;2885,156200662031;771,2984933701323;1680,0646301537495;
3500;2610,7417957849507;701,2166470484668;1139,9255442848744;
4000;2367,8871530259125;657,5399799011716;844,6656281592092;
4500;2131,97831306747;634,2149961681594;613,4465407730727;
5000;1909,604802332186;624,5544619601493;483,28650085909123;
6000;1565,1048656119979;574,7733628651508;306,6688444894483;
7000;1287,4691975788144;565,984251078899;264,674895933376;
8000;1085,660912982561;545,2404994893923;232,36538754113852;
9000;930,9447711241088;532,1767704673225;215,71210465312228;
10000;811,6277440950147;523,7495694592777;204,69353809685356;
12000;640,4434548877965;520,772910559406;194,98043831644156;
14000;520,1909082390576;508,9740968955367;189,01415848285632;
16000;459,40515715474214;506,0486689272055;183,33226023784445;
18000;425,63954336227977;501,55027638573114;180,48996134085152;
20000;403,51329983753965;501,55027638573114;178,79328509481834;
25000;376,8385712073566;501,55027638573114;174,58373091049842;
30000;368,26615486550577;501,55027638573114;173,31792008271566;
35000;364,52656342062556;501,55027638573114;172,8054511446377;
40000;362,9963914245122;501,55027638573114;172,2207167254463;
45000;361,9206609965334;501,55027638573114;170,84776911808098;
50000;361,6210831064627;501,55027638573114;170,72640770699837;
55000;361,49608154807294;493,2362391888799;170,66832413193544;
60000;361,45232472747045;493,2362391888799;170,2774001277281;
65000;360,3387791902948;493,2362391888799;169,55928946157255;
70000;356,68336933385746;491,392227445549;169,38579104602073;
75000;352,16760543895947;491,392227445549;169,24422537788502;
80000;350,3515200823161;491,392227445549;168,464785524864;
85000;348,2944804580874;491,392227445549;167,80445063802838;
90000;344,6436074384635;491,392227445549;167,80399117282346;
95000;342,1063382235191;491,392227445549;167,67165422224102;
100000;340,3486331309717;491,392227445549;167,5656441445313;











============================================================================
Função: CEC2017_08
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;2,02E+2;2,61E+2;1,73E+2;
melhorFX;1,17E+2;1,08E+2;1,06E+2;
piorFX;3,21E+2;3,51E+2;2,93E+2;
medianFX;1,98E+2;2,67E+2;1,66E+2;
sdFX;4,87E+1;7,24E+1;4,69E+1;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;901,3836814960748;901,3836814960748;896,0209443529967;
50;873,2807396233185;873,2807396233185;845,2560184317705;
100;852,8557124742689;852,8557124742689;844,1875637318548;
500;789,9699112716773;725,3609693102333;818,1820116775741;
1000;768,3661791999981;596,9912658419756;780,2574932807424;
1500;720,4243566003253;484,33556407880513;699,950731553785;
2000;668,2164982650934;427,04287570193407;632,0191228268508;
2500;614,361754518647;382,0570923023433;595,9193892563237;
3000;567,3997334992465;355,28642783219607;538,3797181103699;
3500;522,9711625853296;331,57943469088025;439,9317240306375;
4000;489,95157160017897;320,78170635815695;401,24619674938305;
4500;455,5804643512555;314,9843743038738;352,4993409122523;
5000;430,14519314015246;311,0969400926441;319,5727742951844;
6000;380,60084024166207;306,17627880190895;257,0457279681916;
7000;345,7606619847902;302,63876368223595;228,81307469000336;
8000;321,19479893497925;300,98731585276005;208,29931734427194;
9000;300,75088008379777;300,92077930061265;197,54790239606075;
10000;282,7638719767661;299,55851481302767;194,01712371701393;
12000;257,3820769948301;295,4400745688009;187,55809861215428;
14000;240,72261323456618;293,40823557732114;184,65336060346604;
16000;232,29795984222756;292,21281516575885;183,33948624902436;
18000;227,12607724126823;291,585747917657;181,28366289431042;
20000;223,46285883992132;290,31670167118494;180,04347621504888;
25000;218,09088788420485;283,5667149149604;178,37834196761548;
30000;216,24766519516672;281,9652546762796;177,51850356018815;
35000;215,47464369558162;281,90409526721703;176,8316123157324;
40000;215,11057629690788;273,2135866442889;176,49236217386897;
45000;214,94910981822943;271,3511971242998;174,14345279755733;
50000;214,86754341138138;269,11678325366444;173,71229444270338;
55000;214,83127945941703;269,11678325366444;173,7102506256699;
60000;214,81654385880472;268,1390492989262;173,71024982905968;
65000;214,61571045560805;268,1390492989262;173,71024982641583;
70000;214,57378079950317;266,33819753627887;173,710249826415;
75000;214,00908944500205;264,60490590160066;173,71024982641467;
80000;211,9871069380214;263,37519958635824;173,01043219053327;
85000;209,56088918010613;263,37519958635824;172,71529944453943;
90000;207,8118929901148;261,8045420018598;172,71529617688233;
95000;203,00067265015053;260,94168193724084;172,71529615819003;
100000;201,5388404338173;260,94168193724084;172,64902942870245;











============================================================================
Função: CEC2017_09
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;1,00E+4;1,05E+4;7,90E+3;
melhorFX;3,11E+3;4,30E+3;1,04E+3;
piorFX;1,67E+4;1,50E+4;2,29E+4;
medianFX;9,98E+3;1,09E+4;7,79E+3;
sdFX;3,42E+3;2,36E+3;4,98E+3;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;72554,89209285876;72554,89209285876;76090,66672296105;
50;59543,47108855678;59543,47108855678;63617,851359873624;
100;56963,82721504151;56963,82721504151;62396,7111153613;
500;52652,36511321648;49081,7400506621;55527,57826576945;
1000;48495,238726904376;42144,012390168966;53703,83110775215;
1500;44311,08206162209;35792,00077891742;52253,06277235942;
2000;39333,62722947272;32771,396251649516;49088,133366306436;
2500;34240,840894497596;29144,699303715544;45234,854988277024;
3000;28421,966495779903;25973,31710917273;39682,46356744987;
3500;24668,127126771888;25185,744286174984;34855,72352371568;
4000;22008,769289557797;24586,931740689564;31048,57603932413;
4500;19896,21410793643;23122,40425653994;27473,76738944384;
5000;18385,815065983665;21900,176127314466;25665,859275021197;
6000;16153,121952758473;20884,905764419367;20486,834919478988;
7000;14788,090375686992;20091,63474618723;18509,217494153065;
8000;13843,772334048297;19116,039698684857;15671,745777081944;
9000;13251,03072883289;18408,752623043296;14635,332942556992;
10000;12815,785733899638;18194,333911592777;14060,553308958904;
12000;12330,045756633523;16308,271988360815;12839,76261138179;
14000;11996,10837697476;15976,042620042728;12117,94658605716;
16000;11841,55343312222;15429,481782796833;11786,75845306477;
18000;11731,416441773414;15165,601391753877;11586,268149618683;
20000;11667,657739510336;14821,945509324782;11442,179586713472;
25000;11573,54008736589;14067,412011789207;11129,81121973468;
30000;11530,823931824216;13741,25655439693;10696,671289532458;
35000;11515,366209627415;13344,578391185829;9893,681660528924;
40000;11509,357419479853;13281,837997009134;9206,536617620774;
45000;11500,18562241307;12429,463093240838;9126,905798066064;
50000;11466,294837454607;12037,101727339128;9076,715988064008;
55000;11176,944864924415;11913,702071472353;8831,681025352727;
60000;10914,917009777511;11599,775846347684;8623,381057361334;
65000;10576,145425436587;11312,363705355365;8136,583794397925;
70000;10459,538103975172;11240,36456872611;8056,712697368955;
75000;10332,733190114273;10905,99798820301;8002,191042254923;
80000;10264,762856120067;10905,99798820301;7967,461310157289;
85000;10249,133596322661;10746,989868345201;7946,981056394562;
90000;10199,555703693854;10642,023533369334;7906,541762084716;
95000;10168,345274107833;10642,023533369334;7903,3195442459;
100000;10018,805997590389;10484,39117180752;7895,441757740789;











============================================================================
Função: CEC2017_10
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;4,18E+3;6,94E+3;3,36E+3;
melhorFX;2,87E+3;3,42E+3;1,88E+3;
piorFX;5,29E+3;8,19E+3;4,84E+3;
medianFX;4,25E+3;7,11E+3;3,37E+3;
sdFX;5,68E+2;9,00E+2;7,22E+2;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;11733,794093158716;11733,794093158716;12022,947022555752;
50;11433,264972527015;11433,264972527015;11289,09000834141;
100;11167,883325434357;11167,883325434357;11288,540611301334;
500;10756,52329700133;10405,622161675776;10996,298215089078;
1000;10480,018144371463;9557,1919378149;10599,272423598106;
1500;9984,540719217941;8883,160522174374;9874,375330084711;
2000;9413,063786633835;8498,112606645192;8861,911247261742;
2500;8762,634511631672;8281,707259430894;8374,80752199614;
3000;8213,499917562624;8097,91465616899;7701,403666148138;
3500;7685,017796383385;8001,12708927545;7083,560626912652;
4000;7287,609817098989;7966,976977094127;6321,936879115678;
4500;6940,455506995792;7957,47459242995;5843,344178058494;
5000;6612,770208015709;7902,19537225865;5515,385463261327;
6000;6123,577711850015;7834,593068851284;4955,143978937664;
7000;5774,778710502795;7803,232118757537;4264,192933649605;
8000;5508,7978121443;7693,472734886956;3974,048142591238;
9000;5283,082551085142;7679,094649629017;3894,1055021972747;
10000;5110,191451330725;7653,707965504832;3777,8319746956267;
12000;4861,348542164264;7602,682354733783;3643,1512555186277;
14000;4687,732008425495;7539,945847514429;3611,550940723171;
16000;4590,770163510381;7479,0580719847585;3588,20356991717;
18000;4524,336799960951;7469,4763332900975;3558,639228564736;
20000;4479,920992808165;7463,158458944684;3538,735938175889;
25000;4421,696726192272;7313,70514722427;3492,496929625016;
30000;4397,368422387365;7226,401637425499;3463,5308209441782;
35000;4388,327835649444;7193,174790450461;3460,378235654726;
40000;4383,8343234022805;7174,304984261611;3445,3848585648298;
45000;4382,119115121778;7126,471071970611;3411,765118740492;
50000;4381,327931754615;7124,718635071535;3403,4034100993576;
55000;4380,902063767904;7124,718635071535;3393,120224288354;
60000;4379,160058505108;7082,735661238234;3383,932811860941;
65000;4368,4319908702255;7044,396426473928;3371,3763767753862;
70000;4346,117830082331;7010,344964130251;3371,036317527794;
75000;4312,53009084498;7010,344964130251;3361,7328588404957;
80000;4256,752895302239;6966,2720044733405;3361,6555119141067;
85000;4230,998889156228;6966,2720044733405;3361,4126763389636;
90000;4209,880111398302;6953,905949885535;3361,3251976321126;
95000;4194,29034816268;6941,383742801091;3361,0426623471194;
100000;4182,489510885022;6941,383742801091;3361,0035394188226;











============================================================================
Função: CEC2017_11
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;1,07E+4;7,13E+3;4,18E+3;
melhorFX;2,13E+3;1,58E+3;4,34E+1;
piorFX;2,34E+4;1,61E+4;5,50E+4;
medianFX;9,95E+3;7,29E+3;5,98E+2;
sdFX;6,30E+3;2,80E+3;1,03E+4;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
