




============================================================================
Função: Griewangk
============================================================================
P = 12;   s = 10;   porc = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,323220799653440E-01  -->  sd:6,985029178401720E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,501992071389380E-01  -->  sd:3,869905706429640E-02
P = 12;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,505093237814890E-01  -->  sd:7,553915500429220E-02
P =  4;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,543875276819970E-01  -->  sd:2,657656487133440E-02
P =  4;   s = 10;   porc =  5,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,580267356763710E-01  -->  sd:4,726874616406150E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,634136635682100E-01  -->  sd:3,449862776100870E-02
P = 12;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,638761312393210E-01  -->  sd:4,941200708373480E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,780240451150740E-01  -->  sd:3,866414377218760E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,943608309213850E-01  -->  sd:5,391205914444060E-02
P =  4;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,996685499806320E-01  -->  sd:4,811388754789400E-02
P = 12;   s = 10;   porc =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,329773517078200E-01  -->  sd:9,781863067579000E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,381233979311170E-01  -->  sd:5,995930956684980E-02
P =  4;   s = 10;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,451164420167350E-01  -->  sd:6,457748430615940E-02
P =  4;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,647689527453780E-01  -->  sd:8,594146014726390E-02
