




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,581979063872650E+01  -->  sd:1,271694317326260E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,747669011553740E+01  -->  sd:1,431954495788440E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 5,800003443046610E+01  -->  sd:1,973004835478870E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,012480388450850E+01  -->  sd:1,431313498156530E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,120465242630660E+01  -->  sd:1,425275387700680E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,131395689220800E+01  -->  sd:1,425834282210830E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,231791613412870E+01  -->  sd:1,527341792854980E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,292687512212800E+01  -->  sd:1,855652621127060E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,329887767202010E+01  -->  sd:2,152559385783970E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,370128693691080E+01  -->  sd:1,564847385138010E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,401234627495400E+01  -->  sd:1,897064747956270E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 6,432413462383740E+01  -->  sd:1,410583816444830E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,484840744288740E+01  -->  sd:1,573677188940660E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 6,531898732090460E+01  -->  sd:1,213045137137930E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,608019900552060E+01  -->  sd:1,551615068532620E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 6,642775085031090E+01  -->  sd:1,894921487582210E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,760347617478730E+01  -->  sd:1,559091803096990E+01
