




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   porc =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,211337491799600E-01  -->  sd:8,538004288344250E-02
P = 12;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,309107341117390E-01  -->  sd:6,807190533570150E-02
P =  4;   s =  1;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,413561593424490E-01  -->  sd:5,798115756963820E-02
P =  4;   s =  1;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,498038266026730E-01  -->  sd:5,053131038185760E-02
P = 12;   s =  1;   porc = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 2,562214420963580E-01  -->  sd:1,046327812980900E-01
P =  4;   s =  1;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,609739232934040E-01  -->  sd:6,446587819908730E-02
P =  4;   s =  1;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,945677235883860E-01  -->  sd:6,266373286693660E-02
P =  4;   s =  1;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,973850241930110E-01  -->  sd:5,325816720778260E-02
P =  4;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,423364536104790E-01  -->  sd:6,724530680124530E-02
P =  4;   s =  1;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,500616628789350E-01  -->  sd:7,173276220255250E-02
P =  4;   s =  1;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,531308443125970E-01  -->  sd:5,959801865754570E-01
P =  4;   s =  1;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,385339851684900E-01  -->  sd:6,775324168857690E-02
P = 12;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 4,471057793396270E-01  -->  sd:2,053925795245830E-01
P =  4;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,888653387368070E-01  -->  sd:9,126956876117920E-02
P =  4;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,957352283152630E-01  -->  sd:6,846384616571150E-02
P =  4;   s =  1;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,101559482168070E-01  -->  sd:1,149524884773410E-01
P =  4;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,307986287900640E-01  -->  sd:7,954522652978680E-02
P =  4;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,598914057793180E-01  -->  sd:1,261142310202310E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,903982277459940E-01  -->  sd:8,290105374373440E-02
P =  4;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,441430499819380E-01  -->  sd:8,974080944204920E-02
P =  4;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,788368394544610E-01  -->  sd:1,038137666277430E-01
P =  4;   s =  1;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 6,853911022942640E-01  -->  sd:9,258245205326230E-02
P = 12;   s =  1;   porc = 50,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 7,118830322665830E-01  -->  sd:1,278004277627560E-01
P =  4;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 7,417913725897420E-01  -->  sd:9,215427802243680E-01
P = 12;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 8,010971435643520E-01  -->  sd:1,865945154634030E-01
P = 12;   s =  1;   porc =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 8,011907839691630E-01  -->  sd:1,525834889486480E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,706534723561150E-01  -->  sd:1,021169346602980E-01
P =  4;   s =  1;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 9,141662468400430E-01  -->  sd:9,624120278343140E-02
P = 12;   s =  1;   porc = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 9,190816873923460E-01  -->  sd:1,402497849655060E-01
P = 12;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 9,287597477245460E-01  -->  sd:1,787868352377350E-01
P =  4;   s =  1;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 9,364319759214870E-01  -->  sd:7,725714154256380E-02
P =  4;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,432786495261460E-01  -->  sd:1,153851976293790E-01
P =  4;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 9,502071748021430E-01  -->  sd:6,478232851594700E-02
P =  4;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 9,512685978866670E-01  -->  sd:9,395031144335230E-02
P =  4;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 9,638752879577570E-01  -->  sd:8,655127718826610E-02
P =  4;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 9,736706128621060E-01  -->  sd:8,913610578842670E-02
P =  4;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,012379852715750E+00  -->  sd:1,154101914725310E-01
P =  4;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,041012668167400E+00  -->  sd:6,034413786268890E-02
P =  4;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,052714791409220E+00  -->  sd:8,135165822747850E-01
P =  4;   s =  1;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,059147636029110E+00  -->  sd:8,282401006273560E-02
P =  4;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,073831052056170E+00  -->  sd:7,930398043334380E-02
P =  4;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,087791139988030E+00  -->  sd:6,326397081560630E-02
P =  4;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,098094276618690E+00  -->  sd:5,307067549045430E-02
P =  4;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,136207026927570E+00  -->  sd:7,524738121450460E-02
P =  4;   s =  1;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,155738795032110E+00  -->  sd:1,027114926764240E-01
P =  4;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,279659674339560E+00  -->  sd:1,166800513587350E-01
P =  4;   s =  1;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,394974573341790E+00  -->  sd:1,254643678447820E-01
P = 12;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,486236024685090E+00  -->  sd:3,185051896772200E-01
P =  4;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,632389109238610E+00  -->  sd:2,544300191522230E-01
P =  4;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,816392867620150E+00  -->  sd:2,854253563507720E-01
P = 12;   s =  1;   porc = 50,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,894344335330300E+00  -->  sd:5,693033888533960E-01
P = 12;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,224831596033180E+00  -->  sd:6,104515189317330E-01
P =  4;   s =  1;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,242346423773000E+00  -->  sd:4,624023751976750E-01
P =  4;   s =  1;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,273038555745370E+00  -->  sd:3,799545962735210E-01
P =  4;   s =  1;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,303911536715970E+00  -->  sd:3,432217884694320E-01
