


=======================================================
Tuning: 3
=======================================================





============================================================================
Função: Griewangk
============================================================================
P = 12;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,756721678997490E+02  -->  sd:3,619259069058020E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,120625770764920E+02  -->  sd:4,244957919687540E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,456558639888580E+02  -->  sd:4,489511097099620E+01





============================================================================
Função: Rastringin
============================================================================
P = 12;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   34618  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   35324  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   35884  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:   36624  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   36787  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   43484  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:   45377  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:   57264  -->  fx: 1,522591576628790E-15  -->  sd:3,543302500205410E-15
P = 12;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:   68505  -->  fx: 2,537652627714640E-15  -->  sd:3,969952472703760E-15
P = 12;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   68970  -->  fx: 2,537652627714640E-15  -->  sd:3,969952472703760E-15
P = 12;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:   87707  -->  fx: 9,896845248087110E-15  -->  sd:9,734653637386530E-15
P = 12;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   95480  -->  fx: 1,309428755900760E-13  -->  sd:5,905202099027900E-13
P = 12;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:   97468  -->  fx: 5,016939244991850E-13  -->  sd:8,658678846149800E-13
P = 12;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 2,195323288235940E-10  -->  sd:8,921995661627140E-10
P = 12;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 9,720697389882710E-09  -->  sd:5,018620611873740E-08
P = 12;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 5,308733617783090E-08  -->  sd:1,707865447965920E-07
