============================================================================
Função: Beale
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...31...32...33...34...35...36...37...38...39...40...41...42...43...44...45...46...47...48...49...50...
==========================================================
===> Média de NFE, média de f(x) e desvio padrão de f(x):
parameter;AGEO1real1;AGEO2real1;
meanNFE;100001;100001;
meanFX;1,689975781427824E-05;1,0240400335304243E-05;
sdFX;1,6964405073892407E-05;1,2317518029509804E-05;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO1real1;AGEO2real1;
78000;0,015259815530982776;1,5321181658999463E-05;
78500;0,015258988110628697;1,5321181658999463E-05;
79000;0,015258988110628697;1,5169001530894374E-05;
79500;0,015257375607094392;1,5169001530894374E-05;
80000;0,015257375607094392;1,5126995673584722E-05;
80500;0,015257375607094392;1,4505262207675476E-05;
81000;7,155380507072383E-05;1,4427623371879148E-05;
81500;3,15442100736267E-05;1,4035127176728182E-05;
82000;3,119342570461541E-05;1,4035127176728182E-05;
82500;3,119342570461541E-05;1,4035127176728182E-05;
83000;3,119342570461541E-05;1,4035127176728182E-05;
83500;2,015609473999428E-05;1,4035127176728182E-05;
84000;2,015609473999428E-05;1,3838890593963038E-05;
84500;2,015609473999428E-05;1,3418768551203958E-05;
85000;2,015609473999428E-05;1,335529014488785E-05;
85500;2,015609473999428E-05;1,335529014488785E-05;
86000;2,015609473999428E-05;1,3168068034359923E-05;
86500;1,9745659333002164E-05;1,3168068034359923E-05;
87000;1,9745659333002164E-05;1,2781145487982371E-05;
87500;1,8957184811150614E-05;1,2377147893975187E-05;
88000;1,8957184811150614E-05;1,2377147893975187E-05;
88500;1,8477942053524672E-05;1,199401939241092E-05;
89000;1,8477942053524672E-05;1,199401939241092E-05;
89500;1,8477942053524672E-05;1,199401939241092E-05;
90000;1,8088447743322274E-05;1,199401939241092E-05;
90500;1,8088447743322274E-05;1,199401939241092E-05;
91000;1,8088447743322274E-05;1,1474172567981742E-05;
91500;1,8088447743322274E-05;1,1474172567981742E-05;
92000;1,8088447743322274E-05;1,1473751512785953E-05;
92500;1,8088447743322274E-05;1,1245498434503386E-05;
93000;1,7907927405294666E-05;1,1245498434503386E-05;
93500;1,778000017418391E-05;1,1244025769590036E-05;
94000;1,7662162887864002E-05;1,1244025769590036E-05;
94500;1,7662162887864002E-05;1,1244025769590036E-05;
95000;1,7518328248159953E-05;1,1244025769590036E-05;
95500;1,7518328248159953E-05;1,1244025769590036E-05;
96000;1,7518328248159953E-05;1,0872863789279711E-05;
96500;1,7518328248159953E-05;1,0872863789279711E-05;
97000;1,7518328248159953E-05;1,0872863789279711E-05;
97500;1,7518328248159953E-05;1,0705068074393185E-05;
